kodis-id,buyer or seller,concatenated utterances
2525,seller," I am sorry about your nephew. That is awful to hear. The listing was for a random player not specifically a Kobe jersey. It is unfortunate that there was miscommunication there. I am willing to give a refund and take down my review if you are willing to take down your review and send the jersey back to me.   I am glad that you feel that way. I am willing to cover the cost of shipping it back. Are there any other issues that you have?   I understand, I will offer an apology due to the nature of the situation regarding your nephew. I can understand your frustration so it is optional if you want to return the apology, "
2525,seller," I am glad that you feel that way. I am willing to cover the cost of shipping it back. Are there any other issues that you have?   I understand, I will offer an apology due to the nature of the situation regarding your nephew. I can understand your frustration so it is optional if you want to return the apology,   Yes this is agreeable. "
2525,seller," I understand, I will offer an apology due to the nature of the situation regarding your nephew. I can understand your frustration so it is optional if you want to return the apology,   Yes this is agreeable.   Accept Deal"
2526,buyer," I would like a refund  In that case, I would like to keep my review  Instead of a discount I would prefer to keep the review up so that others know not to take your product descriptions at face value"
2526,buyer," In that case, I would like to keep my review  Instead of a discount I would prefer to keep the review up so that others know not to take your product descriptions at face value  Except the description was not honestly indicated on my purhcase, so I would like to keep my review on your site or have you retract your review of me."
2526,buyer," Instead of a discount I would prefer to keep the review up so that others know not to take your product descriptions at face value  Except the description was not honestly indicated on my purhcase, so I would like to keep my review on your site or have you retract your review of me.  Submitted agreement: Buyer gets no refund, seller kept their review, buyer kept their review, seller did apologize, and buyer didn't apologize."
2526,seller," Our website clearly says all sales are final and no refunds issued.  I  cannot offer a refund, however, I'll give you 50% off your next purchase.  I have no issue with being entirely honest with my buyers. I'm sorry for the misunderstanding, however, product descriptions are as indicated on all productsf  for sale."
2526,seller," I  cannot offer a refund, however, I'll give you 50% off your next purchase.  I have no issue with being entirely honest with my buyers. I'm sorry for the misunderstanding, however, product descriptions are as indicated on all productsf  for sale.  My apologies, but you were looking for a Kobe jersey, not an authentic Lakers jersey. Which the description indicated. Therefore, your review is entirely erroneous. Which is why I hope you will remove it, Sir."
2526,seller," I have no issue with being entirely honest with my buyers. I'm sorry for the misunderstanding, however, product descriptions are as indicated on all productsf  for sale.  My apologies, but you were looking for a Kobe jersey, not an authentic Lakers jersey. Which the description indicated. Therefore, your review is entirely erroneous. Which is why I hope you will remove it, Sir.  Accept Deal"
2527,buyer," Hello, I'd like to receive a refund. I'm happy to return the product.  Even if you sent the wrong product?   Thank you, I really appreciate it. When I receive the full refund, I'll also be happy to retract the bad review if you will also retract the review you left for me?"
2527,buyer," Even if you sent the wrong product?   Thank you, I really appreciate it. When I receive the full refund, I'll also be happy to retract the bad review if you will also retract the review you left for me?  Thank you! Will you also retract the bad review you left me? I will do the same for you."
2527,buyer," Thank you, I really appreciate it. When I receive the full refund, I'll also be happy to retract the bad review if you will also retract the review you left for me?  Thank you! Will you also retract the bad review you left me? I will do the same for you.  If you apologize to me as well - then yes! "
2527,buyer," Thank you! Will you also retract the bad review you left me? I will do the same for you.  If you apologize to me as well - then yes!   Thanks, I'm happy we could reach an agreement."
2527,buyer," If you apologize to me as well - then yes!   Thanks, I'm happy we could reach an agreement.  Accept Deal"
2527,seller," please goods sold are not returnable  I apologize for the inconvenience, we'll gladly facilitate a refund for the incorrect product sent.  you will get your refund as soon as possible"
2527,seller," I apologize for the inconvenience, we'll gladly facilitate a refund for the incorrect product sent.  you will get your refund as soon as possible  Sure, will need an apology as well."
2527,seller," you will get your refund as soon as possible  Sure, will need an apology as well.  Sure, i will"
2527,seller," Sure, will need an apology as well.  Sure, i will  Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer did apologize."
2528,buyer," I would like to request a refund for receiving a jersey falsely advertised, please.  The listing for the jersey stated it was a Bryant jersey, I received a Lakers jersey but it does not have Bryant on it.   I will accept that offer."
2528,buyer," The listing for the jersey stated it was a Bryant jersey, I received a Lakers jersey but it does not have Bryant on it.   I will accept that offer.  I will remove it now.  Thank you for your assistance."
2528,buyer," I will accept that offer.  I will remove it now.  Thank you for your assistance.  Submitted agreement: Buyer gets full refund, seller kept their review, buyer retracted their review, seller didn't apologize, and buyer didn't apologize."
2528,seller," What was this issue with your purchase?  Our store doesn't sell Kobe Bryant jerseys. I believe you purchased a generic Lakers jersey and falsely thought it was a Kobe jersey. That said, I am willing to offer a refund in exchange for you deleting your negative review.  Great! Once the negative review is removed I will process your refund."
2528,seller," Our store doesn't sell Kobe Bryant jerseys. I believe you purchased a generic Lakers jersey and falsely thought it was a Kobe jersey. That said, I am willing to offer a refund in exchange for you deleting your negative review.  Great! Once the negative review is removed I will process your refund.  Have a nice day!"
2528,seller, Great! Once the negative review is removed I will process your refund.  Have a nice day!  Accept Deal
2531,buyer, Hello I would like to receive a refund as this purchase is not what I received. I would like an authentic jersey.  I would like a full refund please and an apology.  This jersey quality is not up to par and I worked hard to earn this money to get a legitimate jersey.
2531,buyer, I would like a full refund please and an apology.  This jersey quality is not up to par and I worked hard to earn this money to get a legitimate jersey.  It is not authentic and my review of you will stand. Please we need to agree with issue and refund and we can remove the ratings and reviews okay.
2531,buyer," This jersey quality is not up to par and I worked hard to earn this money to get a legitimate jersey.  It is not authentic and my review of you will stand. Please we need to agree with issue and refund and we can remove the ratings and reviews okay.  Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller didn't apologize, and buyer didn't apologize."
2531,buyer," It is not authentic and my review of you will stand. Please we need to agree with issue and refund and we can remove the ratings and reviews okay.  Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller didn't apologize, and buyer didn't apologize.  ok i will accept the condition"
2531,buyer," Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller didn't apologize, and buyer didn't apologize.  ok i will accept the condition  Accept Deal"
2531,seller, where you specific  am sorry but can i know the reason  well am sorry to hear that but our product are autentic
2531,seller, am sorry but can i know the reason  well am sorry to hear that but our product are autentic  okay but on an account make sure the jersey is intact cause there will be a penalty if there's any fault
2531,seller, well am sorry to hear that but our product are autentic  okay but on an account make sure the jersey is intact cause there will be a penalty if there's any fault  Reject Deal
2531,seller, okay but on an account make sure the jersey is intact cause there will be a penalty if there's any fault  Reject Deal  am sorry for any inconvenience but can only give you refund if you accept the condition
2531,seller," Reject Deal  am sorry for any inconvenience but can only give you refund if you accept the condition  Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer didn't apologize."
2533,buyer," Hello, I would like to request a full refund for a product i got that didnt match what i ordered on the site.  Ill take an exchange if you can guarantee it will be a Kobe jersey. Then we can take down eachothers bad reviews and apologize to eatchother.  That works for me, thank you and I apologize for the bad experience."
2533,buyer," Ill take an exchange if you can guarantee it will be a Kobe jersey. Then we can take down eachothers bad reviews and apologize to eatchother.  That works for me, thank you and I apologize for the bad experience.  I will, thank you for your time and have a great day."
2533,buyer," That works for me, thank you and I apologize for the bad experience.  I will, thank you for your time and have a great day.  Submitted agreement: Buyer gets no refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer did apologize."
2533,seller," Hello! I am sorry a problem was experienced. The jersey you ordered was clearly labelled on my site though, as you can see. (provides link to product page), so I cannot offer a refund. I would be willing to make an exchange, but you left a very bad review about me when the error was yours.   This is acceptable to me, because I want you to get what you wished to purchase. I will take down my bad review if you will, and I will mark this as a refund in the system but will be exchanging it for the Kobe jersey you wanted.   I apologize as well, and hope you will consider me for future sportswear memorabilia! "
2533,seller," This is acceptable to me, because I want you to get what you wished to purchase. I will take down my bad review if you will, and I will mark this as a refund in the system but will be exchanging it for the Kobe jersey you wanted.   I apologize as well, and hope you will consider me for future sportswear memorabilia!   Sounds good, I appreciate it and will finalize the deal after this message."
2533,seller," I apologize as well, and hope you will consider me for future sportswear memorabilia!   Sounds good, I appreciate it and will finalize the deal after this message.  Accept Deal"
2536,buyer," I received the wrong item in the mail, can you refund or send me a new one?  Then with my credit send me a correct jersey and we can donate this one  I received the wrong item, how do you suggest we correct this, attached is a screenshot of what i ordered and what I received"
2536,buyer," Then with my credit send me a correct jersey and we can donate this one  I received the wrong item, how do you suggest we correct this, attached is a screenshot of what i ordered and what I received  I would need a full discounted item as the one you see in the photo I ordered, let's keep out of bad reviews and solve this..."
2536,buyer," I received the wrong item, how do you suggest we correct this, attached is a screenshot of what i ordered and what I received  I would need a full discounted item as the one you see in the photo I ordered, let's keep out of bad reviews and solve this...  That's perfect, I will send you the tracking information. I used my credit card and will let them know this is being corrected. thank you"
2536,buyer," I would need a full discounted item as the one you see in the photo I ordered, let's keep out of bad reviews and solve this...  That's perfect, I will send you the tracking information. I used my credit card and will let them know this is being corrected. thank you  I Walk Away."
2536,seller," Sorry that happened, unfortunately I do not offer refunds  That won't work either. Are you trying to pull a fast one?  Well how about I give you a discount on your next order"
2536,seller," That won't work either. Are you trying to pull a fast one?  Well how about I give you a discount on your next order  Alright well just return the item you received, once we get it I'll ship out the correct item"
2536,seller," Well how about I give you a discount on your next order  Alright well just return the item you received, once we get it I'll ship out the correct item  Submitted agreement: Buyer gets no refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer did apologize."
2539,buyer, the shirt i brought was fake!  it isnt my fault you listed it as a real shirt! i want a refund  no i disagree you said it was real i want a refund
2539,buyer, it isnt my fault you listed it as a real shirt! i want a refund  no i disagree you said it was real i want a refund  are you gaslighting me?
2539,buyer, no i disagree you said it was real i want a refund  are you gaslighting me?  im sorry
2539,buyer, are you gaslighting me?  im sorry  Accept Deal
2539,seller," This is the second time you made a purchase knowing our policy  It was not listed as a real shirt, I'm sorry but all sales are final  Nowhere in the description did it say it was real, you were aware of our policy and this is your second time causing a similar issue."
2539,seller," It was not listed as a real shirt, I'm sorry but all sales are final  Nowhere in the description did it say it was real, you were aware of our policy and this is your second time causing a similar issue.  The best offer I can make you is that if you remove your negative review about us I will remove my negative review about you. There will be no refunds issued. Please make yourself fully aware of our policies should you decide to make purchases in the future."
2539,seller," Nowhere in the description did it say it was real, you were aware of our policy and this is your second time causing a similar issue.  The best offer I can make you is that if you remove your negative review about us I will remove my negative review about you. There will be no refunds issued. Please make yourself fully aware of our policies should you decide to make purchases in the future.  Submitted agreement: Buyer gets no refund, seller retracted their review, buyer retracted their review, seller didn't apologize, and buyer didn't apologize."
2540,buyer," I would like a full refund, the Jersey was clearly the incorrect one  I clearly did not purchase the wrong jersey for my dying nephew. I now need the refund and for you to take down that bad review  I want the original jersey, but I should not have to pay for it 2 times. I will happily return the mistaken jersey, in order to make it easier"
2540,buyer," I clearly did not purchase the wrong jersey for my dying nephew. I now need the refund and for you to take down that bad review  I want the original jersey, but I should not have to pay for it 2 times. I will happily return the mistaken jersey, in order to make it easier  This is not acceptable. Obviously you are trying to negotiate in bad faith. I would be willing to take down my review, in exchange for my replacement jersey and the removal of the bad review. We would both salvage our reputations, and you could continue selling"
2540,buyer," I want the original jersey, but I should not have to pay for it 2 times. I will happily return the mistaken jersey, in order to make it easier  This is not acceptable. Obviously you are trying to negotiate in bad faith. I would be willing to take down my review, in exchange for my replacement jersey and the removal of the bad review. We would both salvage our reputations, and you could continue selling  I Walk Away."
2540,seller," Unfortunalty, my database records every order and you clearly did not select the one you are claiming you did  I can send screenshots to prove to you that you did. I do not offer refunds, but I can give you a coupon towards your next purchase if you still want the other jersey  Unfortunately, I cannot guarantee that it will be returned in the same condition as it was shipped out in. It is your duty as a customer to make sure you have selected the right product  when purchasing. The best I can offer is a discount off your next purchase. I can also take down my negative review of you"
2540,seller," I can send screenshots to prove to you that you did. I do not offer refunds, but I can give you a coupon towards your next purchase if you still want the other jersey  Unfortunately, I cannot guarantee that it will be returned in the same condition as it was shipped out in. It is your duty as a customer to make sure you have selected the right product  when purchasing. The best I can offer is a discount off your next purchase. I can also take down my negative review of you  I agree to take down the bad review of you if you take down the bad review of me. However, each of my jerseys are custom-made for the buyer, so I would be unable to sell anything if it is returned, as I cannot be sure someone else would order it in a size as small as your nephew's. While I cannot refund your product, if you return it to me, I can slap a decal on it saying the particular name of the sport person you ordered it after for only the cost of the difference between the two jerseys."
2542,buyer, Hello I am a recent buyer of your's. I receive a different jersey than what was ordered and I demand that you give me a refund and retract the slanderous review of me.  When I first ordered it clearly stated it would be a Kobe jersey not random players. I saw that you changed the description after the order when you were confronted about it.  This has caused alot of stress to the stress I already have since this was for my terminally ill family member since  Kobe is his favorite player. I would really like a full refund if possible but I accept your apology and would remove my review if you remove your's and give me the refund
2542,buyer, When I first ordered it clearly stated it would be a Kobe jersey not random players. I saw that you changed the description after the order when you were confronted about it.  This has caused alot of stress to the stress I already have since this was for my terminally ill family member since  Kobe is his favorite player. I would really like a full refund if possible but I accept your apology and would remove my review if you remove your's and give me the refund  Okay I will remove my review as soon as I get my refund and you remove my review. I hope you have a good night.
2542,buyer," This has caused alot of stress to the stress I already have since this was for my terminally ill family member since  Kobe is his favorite player. I would really like a full refund if possible but I accept your apology and would remove my review if you remove your's and give me the refund  Okay I will remove my review as soon as I get my refund and you remove my review. I hope you have a good night.  Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer didn't apologize."
2542,seller," Hello. My jerseys are all sold as random player championship jerseys - I do not sell specific players jerseys.   That is inaccurate (actually not listed in my prompt at all, so that's a new concept!). I'll make a deal with you. I'll remove the bad review of you if you remove the bad review of me. I'll throw in a partial discount of the jersey. I apologize for the confusion on this, but I did not change the listing.   My best wishes to your family member, I hope they are able to stay comfortable. My apologies for the stresses. That is okay. "
2542,seller," That is inaccurate (actually not listed in my prompt at all, so that's a new concept!). I'll make a deal with you. I'll remove the bad review of you if you remove the bad review of me. I'll throw in a partial discount of the jersey. I apologize for the confusion on this, but I did not change the listing.   My best wishes to your family member, I hope they are able to stay comfortable. My apologies for the stresses. That is okay.   Sounds good. You as well"
2542,seller," My best wishes to your family member, I hope they are able to stay comfortable. My apologies for the stresses. That is okay.   Sounds good. You as well  Accept Deal"
2543,buyer," HI-I would like to ask for a refund for the jersey.  I can return it to you in exchange for a refund.  It was for my nephew who is terminally ill.  I will mail it out tomorrow.  Also, I agree to remove my bad review of you if you remove your bad review of me.  I apologize if this got heated.  This is good news.  I can then get my nephew the jersey.  He is a big fan of Kobe Bryant."
2543,buyer," I will mail it out tomorrow.  Also, I agree to remove my bad review of you if you remove your bad review of me.  I apologize if this got heated.  This is good news.  I can then get my nephew the jersey.  He is a big fan of Kobe Bryant.  I will.  Thanks for working with me.  I hope you have a great day!"
2543,buyer," This is good news.  I can then get my nephew the jersey.  He is a big fan of Kobe Bryant.  I will.  Thanks for working with me.  I hope you have a great day!  Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer did apologize."
2543,seller," Hi, I would be ok with offering a refund if the jersey is returned and unworn  Yes, I agree to remove my bad review if you do so as well. I apologize as well for any misunderstandings.  I hope you are able to find what you are looking for elsewhere. Make sure to read carefully what you are purchasing next time."
2543,seller," Yes, I agree to remove my bad review if you do so as well. I apologize as well for any misunderstandings.  I hope you are able to find what you are looking for elsewhere. Make sure to read carefully what you are purchasing next time.  Thank you, you as well"
2543,seller," I hope you are able to find what you are looking for elsewhere. Make sure to read carefully what you are purchasing next time.  Thank you, you as well  Accept Deal"
2544,buyer," Hi, I was hoping that we could come to a middle ground where we both walk away happy  My biggest thing would be to get a refund for the Kobe jersey, that way I can buy it elsewhere for my sick nephew who really wants his jeres  Since I'll be out of money for shipping, can you in return take down the bad review you have for me?"
2544,buyer," My biggest thing would be to get a refund for the Kobe jersey, that way I can buy it elsewhere for my sick nephew who really wants his jeres  Since I'll be out of money for shipping, can you in return take down the bad review you have for me?  That sounds perfect! Thanks again and sorry on my end for the way things played out"
2544,buyer," Since I'll be out of money for shipping, can you in return take down the bad review you have for me?  That sounds perfect! Thanks again and sorry on my end for the way things played out  Submitted agreement: Buyer gets full refund, seller retracted their review, buyer kept their review, seller did apologize, and buyer did apologize."
2544,seller," of course, what would make you happy  ok if you are willing to pay to ship it back to me i will be more than happy to refund the jersey  absoulutely"
2544,seller, ok if you are willing to pay to ship it back to me i will be more than happy to refund the jersey  absoulutely  i also want to apologize for any misunderstanding about the name on your jersey
2544,seller, absoulutely  i also want to apologize for any misunderstanding about the name on your jersey  Accept Deal
2545,buyer," Hi there, I would like to make this right with you.  A refund? I'm the one who purchased the product.  A refund would definitely help matters "
2545,buyer," A refund? I'm the one who purchased the product.  A refund would definitely help matters   I will be refunded in full, correct?"
2545,buyer," A refund would definitely help matters   I will be refunded in full, correct?  Thank you. I am also concerned about my reputation on the site. An apology would be appreciated and I can also apologize publicly as well so that we can both keep our reputations."
2545,buyer," I will be refunded in full, correct?  Thank you. I am also concerned about my reputation on the site. An apology would be appreciated and I can also apologize publicly as well so that we can both keep our reputations.  That works for me. "
2545,buyer, Thank you. I am also concerned about my reputation on the site. An apology would be appreciated and I can also apologize publicly as well so that we can both keep our reputations.  That works for me.   Accept Deal
2545,seller, Okay i would like a refund  Would you like a refund?  Okay my apologies for the mistake. I will have that to you now
2545,seller, Would you like a refund?  Okay my apologies for the mistake. I will have that to you now  Yes you will
2545,seller, Okay my apologies for the mistake. I will have that to you now  Yes you will  Okay will you be able to retract bad review and i'll retract mines as well with the apologies?
2545,seller," Yes you will  Okay will you be able to retract bad review and i'll retract mines as well with the apologies?  Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer did apologize."
2546,buyer," HELLO, PLEASE REFUND MY MONEY TO ME  I DID NOT LIKE HOW USEFUL AND IT DID NOT SATISFY THE NEED  YES PLEASE"
2546,buyer, I DID NOT LIKE HOW USEFUL AND IT DID NOT SATISFY THE NEED  YES PLEASE  I JUST DO NOT  LIKE THE PRODUCT
2546,buyer, YES PLEASE  I JUST DO NOT  LIKE THE PRODUCT  I WILL RETURN THE PRODUCT
2546,buyer, I JUST DO NOT  LIKE THE PRODUCT  I WILL RETURN THE PRODUCT  YES PLEASE IT IS AND ALSO SORRY FOR RETURNING THE PRODUCT
2546,buyer," I WILL RETURN THE PRODUCT  YES PLEASE IT IS AND ALSO SORRY FOR RETURNING THE PRODUCT  Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer did apologize."
2546,seller," Hello! Unfortunately, it was clearly stated in the listing all sales are final. What is the issue with the product?  I'm not sure I understand what you mean. Is the product defective?  Could you describe how the product was defective? Specifically, what was wrong with your order?"
2546,seller," I'm not sure I understand what you mean. Is the product defective?  Could you describe how the product was defective? Specifically, what was wrong with your order?  I am sorry to hear that. Still, if the product is not defective, I cannot issue a refund without you returning the item. Would you be interested in this?"
2546,seller," Could you describe how the product was defective? Specifically, what was wrong with your order?  I am sorry to hear that. Still, if the product is not defective, I cannot issue a refund without you returning the item. Would you be interested in this?  Ok, and again I apologize that the item was not up to your standards. I will refund  the money when I receive the product. Is this a suitable plan for you?"
2546,seller," I am sorry to hear that. Still, if the product is not defective, I cannot issue a refund without you returning the item. Would you be interested in this?  Ok, and again I apologize that the item was not up to your standards. I will refund  the money when I receive the product. Is this a suitable plan for you?  Thank you, I am glad we were able to address your concerns. Would you be willing to remove your review of my business? "
2546,seller," Ok, and again I apologize that the item was not up to your standards. I will refund  the money when I receive the product. Is this a suitable plan for you?  Thank you, I am glad we were able to address your concerns. Would you be willing to remove your review of my business?   Accept Deal"
2547,buyer," Hello, i expect a full refund and to have my retaliatory review taken down. Otherwise I will have to go to the selling platform for further action.  I will take 70% if you update your review and issue an apology, my reputation on this platform was impeccable before this transaction.  if i retract mine I will need a full refund"
2547,buyer," I will take 70% if you update your review and issue an apology, my reputation on this platform was impeccable before this transaction.  if i retract mine I will need a full refund  I'll just take down my review! "
2547,buyer," if i retract mine I will need a full refund  I'll just take down my review!   I made a purchase in good faith and got sent the wrong item, of course I posted an honest review. Sending my final offer, please let me know if we can finalize."
2547,buyer," I'll just take down my review!   I made a purchase in good faith and got sent the wrong item, of course I posted an honest review. Sending my final offer, please let me know if we can finalize.  Nobody will see my negative review, which deserved to be put out. For all I know you will scam the next customer."
2547,buyer," I made a purchase in good faith and got sent the wrong item, of course I posted an honest review. Sending my final offer, please let me know if we can finalize.  Nobody will see my negative review, which deserved to be put out. For all I know you will scam the next customer.  Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer didn't apologize."
2547,seller," I'm sorry that is unlikely to happen. You may have 70% refund. Deal?  That would be a fair deal if you retract yours too  Okay,... deal. How about an apology both ways?"
2547,seller," That would be a fair deal if you retract yours too  Okay,... deal. How about an apology both ways?  Alright. I'd do same. You owe me an apology. Your review punctured our reputation."
2547,seller," Okay,... deal. How about an apology both ways?  Alright. I'd do same. You owe me an apology. Your review punctured our reputation.  Let's finalize with an apology please. Both ways. That's fair for everyone"
2547,seller," Alright. I'd do same. You owe me an apology. Your review punctured our reputation.  Let's finalize with an apology please. Both ways. That's fair for everyone  What do you want at this point? Won't an apology both way go for the stress, time and inconveniences? I need an apology from you and I am sorry you feel underserved. It was entirely your fault you know? I just want us to get over this. APOLOGIZE."
2547,seller," Let's finalize with an apology please. Both ways. That's fair for everyone  What do you want at this point? Won't an apology both way go for the stress, time and inconveniences? I need an apology from you and I am sorry you feel underserved. It was entirely your fault you know? I just want us to get over this. APOLOGIZE.  Accept Deal"
2548,buyer, Hi. The item I received is broken.  I would like a refund for the purchase.  When I opened the package it was unfortunately broken.  I have done a lot of business with your company and I have never had a problem. I would like to purchase a replacement.  I understand you don't generally do refunds but I was hoping an exception could be made for a damaged item.  I am willing to take the review down if you are willing to take down the review of me.  I am not trying to hurt your business.  If I receive a refund I will take the bad review down and write a new review about the excellent customer service I received.
2548,buyer, When I opened the package it was unfortunately broken.  I have done a lot of business with your company and I have never had a problem. I would like to purchase a replacement.  I understand you don't generally do refunds but I was hoping an exception could be made for a damaged item.  I am willing to take the review down if you are willing to take down the review of me.  I am not trying to hurt your business.  If I receive a refund I will take the bad review down and write a new review about the excellent customer service I received.  That would be great.  Thank you so much for working with me to come up with a solution.
2548,buyer, I am willing to take the review down if you are willing to take down the review of me.  I am not trying to hurt your business.  If I receive a refund I will take the bad review down and write a new review about the excellent customer service I received.  That would be great.  Thank you so much for working with me to come up with a solution.  I agree. I do apologize if my negative review did any harm to your business.
2548,buyer, That would be great.  Thank you so much for working with me to come up with a solution.  I agree. I do apologize if my negative review did any harm to your business.  Accept Deal
2548,seller," Hi. I packaged it carefully. I don't do refunds. What's the problem?  You put a bad review of my company up, but I don't think the damage was caused by me. Are you willing to take it down?  OK. I will give you a refund and you can make a new purchase as you said. We'll call it a partial refund. I will take down the bad review and you will take yours down too. Agreeable?"
2548,seller," You put a bad review of my company up, but I don't think the damage was caused by me. Are you willing to take it down?  OK. I will give you a refund and you can make a new purchase as you said. We'll call it a partial refund. I will take down the bad review and you will take yours down too. Agreeable?  I'm happy to do business with you. I think there's no reason for us to post apologies."
2548,seller," OK. I will give you a refund and you can make a new purchase as you said. We'll call it a partial refund. I will take down the bad review and you will take yours down too. Agreeable?  I'm happy to do business with you. I think there's no reason for us to post apologies.  Submitted agreement: Buyer gets partial refund, seller retracted their review, buyer retracted their review, seller didn't apologize, and buyer didn't apologize."
2550,buyer," I expect a full refund and an apology for your misleading bad review .  It was advertised as a Kobe jersey but was in fact just a Laker jersey. The reason I purchased it was specifically because it was described as a Kobe jersey.   No, you intentionally advertised it as a Kobe jersey and changed the description after the fact. That is an intentionally misleading practice that people should have some warning about. and the fact that you left me a negative review in tern adds insult to injury. "
