kodis-id,b_fullChat
2545,"<b>[You]</b>: Hi there, I would like to make this right with you.<br><b>[Other]</b>: Okay i would like a refund<br><b>[You]</b>: A refund? I'm the one who purchased the product.<br><b>[Other]</b>: Would you like a refund?<br><b>[You]</b>: A refund would definitely help matters <br><b>[Other]</b>: Okay my apologies for the mistake. I will have that to you now<br><b>[You]</b>: I will be refunded in full, correct?<br><b>[Other]</b>: Yes you will<br><b>[You]</b>: Thank you. I am also concerned about my reputation on the site. An apology would be appreciated and I can also apologize publicly as well so that we can both keep our reputations.<br><b>[Other]</b>: Okay will you be able to retract bad review and i'll retract mines as well with the apologies?<br><b>[You]</b>: That works for me. <br><b>[Other]</b>: Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer did apologize.<br><b>[You]</b>: Accept Deal<br>"
2546,"<b>[You]</b>: HELLO, PLEASE REFUND MY MONEY TO ME<br><b>[Other]</b>: Hello! Unfortunately, it was clearly stated in the listing all sales are final. What is the issue with the product?<br><b>[You]</b>: I DID NOT LIKE HOW USEFUL AND IT DID NOT SATISFY THE NEED<br><b>[Other]</b>: I'm not sure I understand what you mean. Is the product defective?<br><b>[You]</b>: YES PLEASE<br><b>[Other]</b>: Could you describe how the product was defective? Specifically, what was wrong with your order?<br><b>[You]</b>: I JUST DO NOT  LIKE THE PRODUCT<br><b>[Other]</b>: I am sorry to hear that. Still, if the product is not defective, I cannot issue a refund without you returning the item. Would you be interested in this?<br><b>[You]</b>: I WILL RETURN THE PRODUCT<br><b>[Other]</b>: Ok, and again I apologize that the item was not up to your standards. I will refund  the money when I receive the product. Is this a suitable plan for you?<br><b>[You]</b>: YES PLEASE IT IS AND ALSO SORRY FOR RETURNING THE PRODUCT<br><b>[Other]</b>: Thank you, I am glad we were able to address your concerns. Would you be willing to remove your review of my business? <br><b>[You]</b>: Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer did apologize.<br><b>[Other]</b>: Accept Deal<br>"
2547,"<b>[You]</b>: Hello, i expect a full refund and to have my retaliatory review taken down. Otherwise I will have to go to the selling platform for further action.<br><b>[Other]</b>: I'm sorry that is unlikely to happen. You may have 70% refund. Deal?<br><b>[You]</b>: I will take 70% if you update your review and issue an apology, my reputation on this platform was impeccable before this transaction.<br><b>[Other]</b>: That would be a fair deal if you retract yours too<br><b>[You]</b>: if i retract mine I will need a full refund<br><b>[Other]</b>: Okay,... deal. How about an apology both ways?<br><b>[You]</b>: I'll just take down my review! <br><b>[Other]</b>: Alright. I'd do same. You owe me an apology. Your review punctured our reputation.<br><b>[You]</b>: I made a purchase in good faith and got sent the wrong item, of course I posted an honest review. Sending my final offer, please let me know if we can finalize.<br><b>[Other]</b>: Let's finalize with an apology please. Both ways. That's fair for everyone<br><b>[You]</b>: Nobody will see my negative review, which deserved to be put out. For all I know you will scam the next customer.<br><b>[Other]</b>: What do you want at this point? Won't an apology both way go for the stress, time and inconveniences? I need an apology from you and I am sorry you feel underserved. It was entirely your fault you know? I just want us to get over this. APOLOGIZE.<br><b>[You]</b>: Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer didn't apologize.<br><b>[Other]</b>: Accept Deal<br>"
2548,"<b>[You]</b>: Hi. The item I received is broken.  I would like a refund for the purchase.<br><b>[Other]</b>: Hi. I packaged it carefully. I don't do refunds. What's the problem?<br><b>[You]</b>: When I opened the package it was unfortunately broken.  I have done a lot of business with your company and I have never had a problem. I would like to purchase a replacement.  I understand you don't generally do refunds but I was hoping an exception could be made for a damaged item.<br><b>[Other]</b>: You put a bad review of my company up, but I don't think the damage was caused by me. Are you willing to take it down?<br><b>[You]</b>: I am willing to take the review down if you are willing to take down the review of me.  I am not trying to hurt your business.  If I receive a refund I will take the bad review down and write a new review about the excellent customer service I received.<br><b>[Other]</b>: OK. I will give you a refund and you can make a new purchase as you said. We'll call it a partial refund. I will take down the bad review and you will take yours down too. Agreeable?<br><b>[You]</b>: That would be great.  Thank you so much for working with me to come up with a solution.<br><b>[Other]</b>: I'm happy to do business with you. I think there's no reason for us to post apologies.<br><b>[You]</b>: I agree. I do apologize if my negative review did any harm to your business.<br><b>[Other]</b>: Submitted agreement: Buyer gets partial refund, seller retracted their review, buyer retracted their review, seller didn't apologize, and buyer didn't apologize.<br><b>[You]</b>: Accept Deal<br>"
2550,"<b>[You]</b>: I expect a full refund and an apology for your misleading bad review .<br><b>[Other]</b>: I am so sorry for any issues. What was wrong with the product?<br><b>[You]</b>: It was advertised as a Kobe jersey but was in fact just a Laker jersey. The reason I purchased it was specifically because it was described as a Kobe jersey. <br><b>[Other]</b>: The product is a Laker's jersey, but the one depicted could have been a Kobe jersey. In order to resolve this, would you be willing to remove the review you left on our website and we can discusss a refund?<br><b>[You]</b>: No, you intentionally advertised it as a Kobe jersey and changed the description after the fact. That is an intentionally misleading practice that people should have some warning about. and the fact that you left me a negative review in tern adds insult to injury. <br><b>[Other]</b>: I would never change the description of a product I am selling to deceive someone. The only way I will offer a refund is if you retract the review and apologize. I have apologized, so if you would like to receive a refund, that is the only way. You get to keep the product with a full refund, so you are not losing anything here.<br><b>[You]</b>: you have not actually apologized. You have taken no responsibility for your mistake. At this point i don't even want an apology, I just want my money back because you DID NOT give me the item I ordered. I'm not paying for something i did not ask for.<br><b>[Other]</b>: I am apologizing for you receiving an item you believed to be a Kobe Jersey. I will return your funds if you agree to retract the review. Otherwise, no.<br><b>[You]</b>: so you aren't apologizing at all, despite changing your description after the fact and the only way you'll give me my money back after receiving an incorrect item is if i don't warn other people about you irresponsible practices??<br><b>[Other]</b>: I will make sure to keep my review of you falsifying reviews in order to get full refunds and keep merchandise<br><b>[You]</b>: how about we both keep our reviews up.  I'll happily return the item and you can give me my money back.<br><b>[Other]</b>: All sales are final. <br><b>[You]</b>: oh so you're accusing me of trying to keep merchandise but you don't allow returns? yeah seems like a scam to me<br><b>[Other]</b>: Submitted agreement: Buyer gets no refund, seller kept their review, buyer kept their review, seller did apologize, and buyer didn't apologize.<br><b>[You]</b>: Reject Deal<br><b>[You]</b>: I want my money back<br><b>[Other]</b>: You will NOT be getting your money back. I offered a refund if you retracted your review,even though our policy states ALL SALES FINAL<br><b>[You]</b>: fine ill retract the review only if i get my refund. <br><b>[Other]</b>: Deal. I apologize to you for any issues on our part. do you apologize as well? I want this to be an issue we can put in the past. if any issues arise in the future, please email us so we can handle them before you purchase.<br><b>[You]</b>: No, I'd rather be done with this. <br><b>[Other]</b>: Submitted agreement: Buyer gets full refund, seller kept their review, buyer retracted their review, seller did apologize, and buyer didn't apologize.<br><b>[You]</b>: Accept Deal<br>"
2551,"<b>[You]</b>: I will take down the negative review if you issue me a full refund<br><b>[Other]</b>: I will issue you a full refund and take down my bad review if you also take down yours and you apologize<br><b>[You]</b>: Okay, thank you.<br><b>[Other]</b>: Cool, we still need to send a few more messages. I appreciate your willingness to work together<br><b>[You]</b>: I apologize for the negative review. I have taken it down.<br><b>[Other]</b>: I appreciate that, I have take down mine as well and started issuing the refund<br><b>[You]</b>: Thank you for your cooperation<br><b>[Other]</b>: Thanks and have a nice day<br><b>[You]</b>: Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller didn't apologize, and buyer did apologize.<br><b>[Other]</b>: Accept Deal<br>"
2552,"<b>[You]</b>: Hello! I would like to receive a refund for the Kobe Bryant Jersey I purchased. <br><b>[Other]</b>: Hi there! Thanks for reaching out. Why would you like to make this return?<br><b>[You]</b>: When I received the jersey it was for another player. The pictures on the site indicated it was a signed Kobe Bryant jersey, and that is not what I got. <br><b>[Other]</b>: I am sorry for the misunderstanding. The listing description states that the jersey is not for a specific player, just a lakers<br><b>[You]</b>: I believe that was changed after I made my purchase. If the listing was is in current state (no Kobe Bryant jersey picture, and updated description) I would not have made the purchase.<br><b>[Other]</b>: This listing has not been changed since the time of purchase. However, if you are unhappy with your purchase I will gladly refund it.<br><b>[You]</b>: Since we've come to an agreement on the refund I would be willing to retract my review of you, or make an apology describing your adequate solution. If you would retract your review of me as a buyer. I would like us to both be able to buy and sell with our reputations in tact.<br><b>[Other]</b>: That sounds reasonable to me!<br><b>[You]</b>: Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer did apologize.<br><b>[Other]</b>: Accept Deal<br>"
2553,"<b>[You]</b>: May I have a refund for the broken item?<br><b>[Other]</b>: Why do you require a refund? Did it come broken?<br><b>[You]</b>: yes unfortunately it did. a picture of the broken item is attached for your review.<br><b>[Other]</b>: can you describe the issues with the item in words for me, please?<br><b>[You]</b>: I am sending you a picture instead which shows the break and the damaged packaging it came in.<br><b>[Other]</b>: im so sorry you are dealing with this. we promise to offer good quality shipping with our products. unfortunately i require a written description of how the item is broken before i can move forward with your refund.<br><b>[You]</b>: the item is cracked and dented<br><b>[Other]</b>: i can see how you are unhappy with this would you like us to send you a new, unbroken product?<br><b>[You]</b>: That would be fine with me<br><b>[Other]</b>: i can see you have a left a poor review of our product? im sorry to hear this. im hoping your opinion of us changes after receiving your replacement.<br><b>[You]</b>: I will write a retraction upon receipt of the replacement. Thanks<br><b>[Other]</b>: thank you very much! i will begin processing a replacement product and have it shipped to you right away. is that all i can help you with today?<br><b>[You]</b>: Thank you for taking care of this for me.<br><b>[Other]</b>: Submitted agreement: Buyer gets no refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer didn't apologize.<br><b>[You]</b>: Accept Deal<br>"
2556,"<b>[You]</b>: I think that we should be able to resolve this peacefully<br><b>[Other]</b>: i agree with you on this<br><b>[You]</b>: At the very least I think a refund is in order since the initial ad was misleading. I am willing to return the product as well<br><b>[Other]</b>: well a refund may not be okay since it was clearly stated that the jersey is not for a specific player<br><b>[You]</b>: That was not on the original ad though. I would not have purchased a random player jersey I was looking for a very specific one<br><b>[Other]</b>: i can agree for a partial refund... lets meet half way<br><b>[You]</b>: I will agree to that. I am also willing to retract my bad review if you retract yours. <br><b>[Other]</b>: i will retract mine as well<br><b>[You]</b>: I am also willing to post an apology for my bad review if you are willing to do the same so that we can both remain in good standing on the site<br><b>[Other]</b>: i am also willing to do same. thanks for understanding<br><b>[You]</b>: Submitted agreement: Buyer gets partial refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer did apologize.<br><b>[Other]</b>: Accept Deal<br>"
2557,"<b>[You]</b>: I ordered the Kobe jersey but received the incorrect item. Due to false advertising, I request a full refund<br><b>[Other]</b>: Sorry, but my website specifically stated that you would not get a particular player's jersey. I'd like you to review the website and remove your bad review. <br><b>[You]</b>: I understand your point of view, however at the time of purchase it stated that I would receive a Kobe Jersey. Unfortunately I will not be removing my review until my issue is resolved'<br><b>[Other]</b>: If I offer you a partial refund, will you delete your bad review? <br><b>[You]</b>: Unfortunately a partial refund does not suffice as the website changed the description after purchase<br><b>[Other]</b>: Well, that's not true, and we both know it. <br><b>[You]</b>: I would not have purchased if I knew that. I will not be taking my review down unless this is rectified<br><b>[Other]</b>: If I give you a full refund, will you remove your negative review? <br><b>[You]</b>: Yes i will <br><b>[Other]</b>: Okay, sounds good to me. Take down the negative review, and I'll refund you as soon as I see it is gone. <br><b>[You]</b>: Sure. Please guarantee that you will also remove your review of me<br><b>[Other]</b>: I'm not so sure about that. Other buyers need to know you are running a scam. <br><b>[You]</b>: Unfortunately, I can say the same about you. If we both remove the reviews, I will return the jersey and get out of your hair. I may even consider writing a follow up review telling people that you solved my issue. Deal?<br><b>[Other]</b>: Sure, that sounds great. I agree to that. <br><b>[You]</b>: Submitted agreement: Buyer gets full refund, seller retracted their review, buyer kept their review, seller didn't apologize, and buyer didn't apologize.<br><b>[Other]</b>: Reject Deal<br><b>[Other]</b>: I thought you agreed to retract your review of me? <br><b>[You]</b>: Sure, I will retract<br><b>[Other]</b>: Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller didn't apologize, and buyer didn't apologize.<br><b>[You]</b>: Accept Deal<br>"
2558,"<b>[You]</b>: Due to the false advertising and deceitful sale of the jersey, I am formally requesting a full refund of my order.<br><b>[Other]</b>: There was no false advertising as the website states that there is no one particular jersey that will be sold. All sales final.<br><b>[You]</b>: When I purchased the item, at the time of sale, the advertisement specifically stated the jersey was for Kobe. It wasn't until after the sale that the verbiage of the advertisement was edited t say any player. I would be interested in offering a second chance to do the right thing and provide a refund in lieu of the removal of my initial bad review of your company that tarnishes your reputation.<br><b>[Other]</b>: Unfortunately, you misunderstood. At no time did it state the jersey was for Kobe. Perhaps you got confused by looking at another website? I'm sorry that you are disappointed in the sale. All our other reviews are by happy customers that read that description and understood what they were buying.<br><b>[You]</b>: I am not misunderstanding and am aware that the company has first hand knowledge of the mistake they made. I am still requesting a full refund.<br><b>[Other]</b>: Perhaps I can offer a compromise.<br><b>[You]</b>: Okay, I am listening<br><b>[Other]</b>: You can return the product at your expense plus a 30% restocking charge. In exchange, you retract your review.<br><b>[You]</b>: I would be willing to retract my review if your review of my buyer profile is also remove with the full refund, return shipping paid, and the 30% restocking fee.<br><b>[Other]</b>: I'm sorry, that won't work.<br><b>[You]</b>: The removal of the bad review isn't worth the shipping expense?<br><b>[Other]</b>: Ok, I'll cover shipping with an apology from you. Seems fair.<br><b>[You]</b>: Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer didn't apologize.<br><b>[Other]</b>: Accept Deal<br>"
2559,"<b>[You]</b>: Hi, may I receive a full refund as the item was not as described. <br><b>[Other]</b>: There is a policy of no refunds as was stated.<br><b>[You]</b>: I understand but the item was not as described so it is not a valid sale. Also, please retract your bad review of me. I apologize for this mix up but hopefully the outcome will be fair to us both. <br><b>[Other]</b>: The policy says no refunds so I must honor the policy. I can retract the bad review but I can't refund.<br><b>[You]</b>: Thank you for your offer to retract the bad review. I appreciate it. I need the refund and you didn't correctly describe the product. I have the screenshot of the description and don't want to have to escalate this with your site you sell on. It is ok to not offer refunds if you are actually selling the item you said you were selling. Otherwise, you aren't being an honest seller and you cannot do that by law. <br><b>[Other]</b>: I see that you've given another seller a hard time and demanded a refund from them as well.<br><b>[You]</b>: Yes they also did a bait and switch which is illegal. I feel it is important to make other buyers aware so they can be careful. I do not intend to harm and I only will put a factual review if no solution is reached. I'm willing to amend my review if you treat me fairly from here please. <br><b>[Other]</b>: Okay I'll issue the refund, I'm sorry. I'll retract the bad review of you as well.<br><b>[You]</b>: Thank you. I am sorry for how this went down as well. I'll amend my review of you. <br><b>[Other]</b>: Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer didn't apologize.<br><b>[You]</b>: Accept Deal<br>"
2560,"<b>[You]</b>: I'd like a refund as I didn't receive the jersey that was advertised. It was for someone terminally ill and it was important. <br><b>[Other]</b>: I'm sorry for the issue you had with the jersey, but we did not have any specifics listed for it on the site..<br><b>[You]</b>: It was on the site. I don't want to pay for something I didn't want. I will return the jersey, I just want a refund and you won't be losing anything. I want to take that money and buy the jersey for the person who is terminally ill. Please, it's important. <br><b>[Other]</b>: Alright, I will see about processing the refund as soon as possible, sorry for the inconvenience..<br><b>[You]</b>: I appreciate it, thank you. I will remove the bad review and would you please remove the bad review. Let;s have a clean slate with eachother. Does that sound fair?<br><b>[Other]</b>: It does sound fair to me, I'll remove my own bad review in turn after you remove yours..<br><b>[You]</b>: I apologize for any misunderstanding and wish you well with your business. I'm glad we could come to an agreement. Thank you.<br><b>[Other]</b>: You're very welcome, we do strive to ensure our customers are happy.<br><b>[You]</b>: Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller didn't apologize, and buyer did apologize.<br><b>[Other]</b>: Accept Deal<br>"
2561,"<b>[You]</b>: hello<br><b>[Other]</b>: Hello<br><b>[You]</b>: I would like a refund for the jersey<br><b>[Other]</b>: Why<br><b>[You]</b>: the jersey listed said specifically it was a kobe jersey and you retracted the description after denying the refund I feel like ive been scammed<br><b>[Other]</b>: No it sais replica of Los Angeles Lakers baskeball championship jersey<br><b>[You]</b>: I have screetshots that prove otherwise please offer a refund so we can resolve this without issue and I will take down the bad review I left for your business<br><b>[Other]</b>: I know exactly what my sites says and it states that it is a replica no certain name is on my site<br><b>[You]</b>: Submitted agreement: Buyer gets full refund, seller retracted their review, buyer kept their review, seller did apologize, and buyer didn't apologize.<br><b>[Other]</b>: Accept Deal<br>"
2562,"<b>[You]</b>: I would like to receive a full refund for my item because it was not what I thought I was ordering.<br><b>[Other]</b>: You should have read better. You will not be getting a refund. Buy I will apologize to you<br><b>[You]</b>: I did read correctly, you should not have used false advertisement. I will accept an apology, but I want half of my money refunded.<br><b>[Other]</b>: That isnot going to happen. But to make it better for you I will remove my bad review and apologizes to you but that is it. If you want a refund I will keep my bad review. You will retracts bad review and apologizes to me. <br><b>[You]</b>: I will apologize and remove my bad review only if I receive half of my refund.<br><b>[Other]</b>: Yes I will accept that. But I will not apologize to you and keep my bad review up. <br><b>[You]</b>: Okay, that sounds fair.<br><b>[Other]</b>: Great<br><b>[You]</b>: Submitted agreement: Buyer gets partial refund, seller kept their review, buyer retracted their review, seller didn't apologize, and buyer did apologize.<br><b>[Other]</b>: Accept Deal<br>"
2563,"<b>[You]</b>: Did you receive my message<br><b>[Other]</b>: No<br><b>[You]</b>: I need a refund<br><b>[Other]</b>: I might be able to help with a refund if you remove the bad review.<br><b>[You]</b>: I will remove it.<br><b>[Other]</b>: Ok, I'll be happy to give you a refund. Would you also be kind enough to make a public apology?<br><b>[You]</b>: no, it not happening<br><b>[Other]</b>: I hope you reconsider, I have done all that I can to give you the refund that you have requested<br><b>[You]</b>: are going to apologize?<br><b>[Other]</b>: I apologize.<br><b>[You]</b>: Ok, i will apologize.<br><b>[Other]</b>: Ok, it has been nice working with you.<br><b>[You]</b>: Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer did apologize.<br><b>[Other]</b>: Accept Deal<br>"
