,kodis-id,buyer or seller,extroversion_score,agreeableness_score,conscientiousness_score,neuroticism_score,openness_score
59,2563,seller,2.0,2.5,5.0,2.5,4.0
60,2564,buyer,2.5,4.0,3.5,4.0,2.5
61,2564,seller,1.5,4.5,3.0,4.0,4.0
62,2565,buyer,2.5,4.5,4.5,3.5,2.5
63,2565,seller,3.0,4.0,1.5,4.0,2.5
64,2566,buyer,2.5,4.5,5.0,1.5,3.0
65,2566,seller,2.0,4.5,4.0,2.5,4.0
66,2567,buyer,2.0,4.0,3.5,3.0,4.5
67,2567,seller,1.5,4.0,4.0,,5.0
68,2569,buyer,3.0,4.0,3.5,2.0,3.0
69,2569,seller,1.5,2.0,4.5,5.0,3.5
70,2572,buyer,3.5,4.0,3.0,3.0,2.5
71,2572,seller,2.0,4.0,4.5,3.5,4.0
72,2573,buyer,3.0,3.0,4.0,4.5,4.5
73,2573,seller,2.0,5.0,5.0,2.0,3.5
74,2574,buyer,2.0,4.5,3.5,3.0,4.0
75,2574,seller,2.0,4.0,3.5,2.5,4.0
76,2575,buyer,2.5,4.0,4.0,2.0,3.5
77,2575,seller,3.0,3.0,3.0,3.0,3.0
78,2576,buyer,2.5,4.0,3.0,3.0,2.0
79,2576,seller,2.0,3.5,4.0,3.5,3.0
80,2577,buyer,1.5,3.5,4.5,4.5,3.5
81,2577,seller,1.5,4.0,2.5,2.0,4.5
82,2578,buyer,5.0,5.0,5.0,1.0,3.0
83,2578,seller,3.0,3.0,4.5,5.0,3.0
84,2580,buyer,2.0,2.0,4.0,4.0,4.0
85,2580,seller,3.0,3.5,5.0,1.5,3.5
86,2581,buyer,1.5,3.5,4.0,4.0,4.0
87,2581,seller,3.0,4.0,4.0,2.5,2.5
88,2582,buyer,1.5,4.0,3.0,3.5,4.5
89,2582,seller,3.0,4.0,5.0,1.0,3.5
90,2583,buyer,1.0,4.0,3.0,3.5,5.0
91,2583,seller,2.5,3.0,4.5,3.5,3.5
92,2585,buyer,1.5,2.0,3.5,4.0,4.0
93,2585,seller,3.0,4.0,4.0,2.0,3.0
94,2586,buyer,2.0,3.5,3.5,3.0,3.5
95,2586,seller,2.0,5.0,3.5,4.5,5.0
96,2587,buyer,1.5,4.0,2.5,2.0,4.5
97,2587,seller,2.5,3.0,3.0,5.0,5.0
98,2588,buyer,1.0,4.0,5.0,1.5,4.5
99,2588,seller,4.0,3.0,3.0,4.5,3.5
100,2589,buyer,2.0,4.5,4.5,1.5,4.5
101,2589,seller,3.5,3.0,2.5,3.0,4.0
102,2590,buyer,2.5,3.5,3.5,2.5,3.5
103,2590,seller,3.0,5.0,5.0,1.0,5.0
104,2591,buyer,1.0,5.0,5.0,1.0,5.0
105,2591,seller,3.0,3.5,3.0,1.5,4.0
106,2593,buyer,2.0,4.5,4.5,2.0,4.0
107,2593,seller,2.5,4.0,5.0,2.0,4.5
108,2594,buyer,1.0,5.0,2.0,5.0,5.0
109,2594,seller,3.5,4.0,5.0,2.5,2.5
110,2595,buyer,3.0,4.0,4.0,2.0,3.5
111,2595,seller,2.5,4.0,5.0,1.0,4.5
112,2596,buyer,3.0,1.5,5.0,4.5,3.0
113,2596,seller,3.0,3.5,5.0,3.0,3.0
114,2597,buyer,3.0,4.0,4.0,3.0,4.0
115,2597,seller,1.5,1.5,5.0,1.0,4.5
116,2599,buyer,2.5,4.0,2.0,3.5,2.0
117,2599,seller,3.5,4.0,4.5,3.0,2.5
118,2600,buyer,2.0,3.0,3.5,,4.0
119,2600,seller,2.5,3.5,5.0,1.0,2.5
120,2602,buyer,2.5,4.5,4.0,3.0,3.0
121,2602,seller,1.5,3.0,4.5,3.5,4.0
122,2603,buyer,2.0,2.0,5.0,3.0,4.5
123,2603,seller,2.5,3.5,4.0,3.5,3.0
124,2606,buyer,2.0,4.5,4.5,2.5,4.5
125,2606,seller,3.0,2.0,2.5,4.0,3.0
126,2607,buyer,3.5,4.5,4.5,2.0,3.5
127,2607,seller,1.5,4.0,4.5,3.0,5.0
128,2609,buyer,3.0,1.0,5.0,3.0,3.0
129,2609,seller,1.5,4.0,5.0,3.5,3.5
130,2611,buyer,3.0,1.5,5.0,3.0,2.5
131,2611,seller,1.5,4.0,3.0,2.0,5.0
132,2613,buyer,2.5,5.0,5.0,1.0,3.5
133,2613,seller,3.0,3.0,5.0,1.0,3.0
134,2616,buyer,3.5,4.0,3.0,3.5,3.5
135,2616,seller,3.0,4.5,4.0,2.0,3.5
136,2621,buyer,3.0,5.0,1.0,4.0,3.5
137,2621,seller,2.0,3.5,4.5,4.0,4.5
138,2623,buyer,2.0,4.0,2.5,3.0,4.0
139,2623,seller,2.5,4.5,3.5,2.0,4.0
140,2624,buyer,2.0,3.5,3.5,4.0,4.0
141,2624,seller,3.0,3.0,3.0,3.0,3.0
142,2625,buyer,1.0,4.5,1.5,3.0,5.0
143,2625,seller,3.0,2.0,2.0,3.5,2.5
144,2626,buyer,3.5,4.0,1.5,2.5,4.0
145,2626,seller,3.0,4.5,4.0,,2.5
146,2627,buyer,2.5,4.0,3.5,3.0,3.0
147,2627,seller,2.5,3.5,3.5,3.5,3.5
148,2628,buyer,2.5,3.5,,1.5,3.0
149,2628,seller,1.5,3.5,2.5,4.5,5.0
150,2629,buyer,2.0,3.0,2.0,1.5,4.5
151,2629,seller,2.5,4.0,3.5,1.5,3.0
152,2630,buyer,3.5,3.5,3.0,4.0,3.5
153,2630,seller,4.0,3.5,3.0,4.0,2.0
154,2632,buyer,2.5,3.5,3.0,3.0,3.0
155,2632,seller,1.5,3.5,4.0,1.5,4.0
156,2633,buyer,2.5,4.0,3.5,3.0,3.5
157,2633,seller,1.5,4.5,3.5,3.5,5.0
158,2634,buyer,1.5,3.5,3.0,2.0,4.0
159,2634,seller,2.0,4.0,2.5,3.5,4.5
160,2635,buyer,3.0,3.0,2.5,3.5,3.0
161,2635,seller,1.5,4.0,4.5,1.5,4.5
162,2640,buyer,1.5,4.0,4.5,3.0,3.5
163,2640,seller,1.5,4.0,4.5,4.5,5.0
164,2641,buyer,2.0,4.0,3.0,3.5,4.0
165,2641,seller,3.0,3.5,4.0,4.0,3.5
166,2644,buyer,2.5,3.0,4.0,1.5,4.5
167,2644,seller,2.5,3.5,4.5,3.5,4.5
168,2646,buyer,2.0,5.0,4.0,3.5,3.5
169,2646,seller,2.0,4.0,4.0,4.0,4.0
170,2650,buyer,2.5,3.0,4.0,3.0,3.0
171,2650,seller,1.0,2.0,3.0,3.0,5.0
172,2651,buyer,2.0,4.5,4.0,2.5,3.5
173,2651,seller,1.5,3.0,4.5,2.5,4.5
174,2652,buyer,2.0,4.0,3.0,4.0,3.5
175,2652,seller,3.0,4.0,3.5,4.5,3.0
176,2653,buyer,2.0,4.0,4.5,3.5,4.5
177,2653,seller,2.0,5.0,4.0,2.5,4.5
178,2654,buyer,3.0,3.0,3.0,3.0,4.0
179,2654,seller,3.0,4.0,5.0,4.0,4.5
180,2655,buyer,2.5,4.0,3.5,5.0,3.0
181,2655,seller,4.0,3.0,4.5,3.0,2.5
182,2656,buyer,1.0,3.5,3.5,4.5,5.0
183,2656,seller,1.5,3.0,4.5,1.5,4.0
184,2657,buyer,3.0,4.5,4.5,3.5,3.5
185,2657,seller,1.0,3.5,3.5,5.0,4.0
186,2658,buyer,2.0,4.0,2.5,2.5,3.0
187,2658,seller,2.0,3.0,3.5,4.0,4.5
188,2659,buyer,3.0,4.5,3.5,2.5,4.5
189,2659,seller,3.0,5.0,4.0,2.0,2.5
190,2660,buyer,2.5,3.0,4.5,1.5,5.0
191,2660,seller,2.5,3.0,2.5,3.5,5.0
192,2661,buyer,2.5,4.0,4.0,2.5,3.5
193,2661,seller,2.0,3.0,3.5,3.5,4.0
194,2662,buyer,1.0,5.0,5.0,1.0,5.0
195,2662,seller,3.0,3.5,3.0,3.5,3.0
196,2663,buyer,3.0,5.0,4.0,1.0,5.0
197,2663,seller,2.5,3.0,2.5,4.5,2.5
198,2664,buyer,1.0,2.0,4.5,5.0,4.5
199,2664,seller,2.5,4.0,3.5,3.0,3.0
200,2665,buyer,1.5,4.0,3.5,3.5,4.0
201,2665,seller,3.5,4.0,3.5,4.5,3.5
202,2667,buyer,1.0,5.0,3.5,4.0,4.0
203,2667,seller,2.0,2.5,2.0,4.0,3.5
204,2669,buyer,1.5,4.5,3.0,4.5,4.0
205,2669,seller,2.5,3.5,4.0,2.5,2.5
206,2671,buyer,2.0,2.0,3.0,2.5,3.0
207,2671,seller,1.5,3.0,3.0,3.0,4.0
208,2675,buyer,4.0,4.5,4.0,3.0,3.5
209,2675,seller,1.5,4.5,4.5,1.5,4.5
210,2676,buyer,3.0,4.5,5.0,2.5,3.5
211,2676,seller,2.0,3.0,2.5,5.0,3.5
212,2677,buyer,2.0,3.0,4.0,3.0,3.5
213,2677,seller,1.5,1.5,3.5,4.5,4.5
214,2678,buyer,2.5,4.5,4.0,1.5,4.0
215,2678,seller,3.0,3.5,5.0,3.0,5.0
216,2679,buyer,1.5,3.0,3.5,5.0,4.5
217,2679,seller,2.0,2.5,5.0,1.5,3.5
218,2680,buyer,2.5,2.5,5.0,5.0,5.0
219,2680,seller,1.5,2.0,4.0,4.0,4.5
220,2684,buyer,3.0,4.0,3.5,3.0,2.5
221,2684,seller,3.0,3.0,3.0,2.5,2.5
222,2685,buyer,1.5,4.5,5.0,1.5,5.0
223,2685,seller,1.5,2.5,4.5,4.0,5.0
224,2686,buyer,2.0,4.0,4.5,2.0,3.5
225,2686,seller,2.5,2.0,3.0,4.0,2.0
226,2687,buyer,2.0,2.0,4.0,4.0,4.0
227,2687,seller,2.0,2.0,3.5,3.5,3.5
228,2688,buyer,2.0,3.0,4.0,2.5,3.5
229,2688,seller,3.0,5.0,5.0,1.0,2.5
230,2689,buyer,2.0,3.0,2.0,2.5,4.5
231,2689,seller,3.0,4.0,2.0,2.5,2.0
232,2691,buyer,2.0,4.0,3.0,4.0,4.0
233,2691,seller,3.5,2.5,5.0,2.0,3.0
234,2693,buyer,3.0,3.5,3.0,2.0,3.0
235,2693,seller,1.5,4.5,1.5,1.5,5.0
236,2694,buyer,2.5,3.5,4.0,3.5,3.0
237,2694,seller,3.0,5.0,4.5,2.5,3.0
238,2695,buyer,1.0,3.0,2.5,2.5,5.0
239,2695,seller,2.0,3.0,4.0,3.5,3.5
240,2696,buyer,1.5,3.0,4.5,3.0,4.0
241,2696,seller,3.5,3.0,3.5,3.5,2.5
242,2697,buyer,3.0,2.5,4.0,3.0,3.5
243,2697,seller,2.0,2.0,3.0,4.5,3.5
244,2699,buyer,2.0,3.5,3.5,2.5,4.0
245,2699,seller,1.0,3.5,4.0,3.0,5.0
246,2702,buyer,4.0,3.0,3.5,2.5,3.0
247,2702,seller,2.0,3.0,5.0,3.0,5.0
248,2703,buyer,1.0,5.0,5.0,1.0,5.0
249,2703,seller,1.5,2.5,2.5,2.0,5.0
250,2706,buyer,1.0,2.0,3.5,2.5,4.0
251,2706,seller,1.0,4.0,3.0,3.0,4.5
252,2710,buyer,2.0,4.5,4.5,2.0,3.5
253,2710,seller,2.0,4.5,5.0,1.0,3.5
254,2716,buyer,1.5,3.0,4.0,2.5,4.5
255,2716,seller,3.5,4.5,4.0,3.5,3.0
256,2717,buyer,3.0,3.0,4.0,3.5,2.5
257,2717,seller,2.0,2.0,3.5,2.5,4.5
258,2718,buyer,1.0,3.5,4.5,2.5,5.0
259,2718,seller,2.0,5.0,3.0,4.5,3.5
260,2719,buyer,3.5,3.5,3.5,3.0,2.5
261,2719,seller,2.5,5.0,2.5,2.5,4.0
262,2720,buyer,3.0,3.0,4.0,4.0,2.5
263,2720,seller,2.0,4.5,4.0,2.5,4.0
264,2721,buyer,3.0,4.0,3.0,4.0,2.0
265,2721,seller,2.5,3.5,2.0,2.0,3.5
266,2728,buyer,3.0,3.5,4.0,3.0,3.0
267,2728,seller,3.5,3.0,3.0,3.0,2.5
268,2729,buyer,3.5,2.5,4.0,3.5,3.0
269,2729,seller,3.0,3.5,4.5,2.5,5.0
270,2730,buyer,3.0,2.5,5.0,4.5,3.5
271,2730,seller,4.5,4.0,3.5,3.5,3.0
272,2731,buyer,3.5,4.5,3.5,3.5,3.0
273,2731,seller,3.0,4.0,4.0,2.5,3.0
274,2733,buyer,3.0,4.0,5.0,1.5,3.5
275,2733,seller,3.0,4.0,4.0,3.5,3.0
276,2736,buyer,3.0,4.5,4.5,1.5,3.0
277,2736,seller,1.5,4.5,5.0,4.0,4.0
278,2737,buyer,1.5,3.5,3.0,4.5,4.0
279,2737,seller,4.0,3.5,3.5,2.0,3.0
280,2738,buyer,3.0,5.0,5.0,3.0,1.5
281,2738,seller,2.0,4.0,4.0,3.0,4.5
282,2740,buyer,2.5,2.5,4.0,3.0,3.5
283,2740,seller,2.5,5.0,5.0,1.0,3.5
284,2741,buyer,3.0,2.5,2.5,3.5,3.0
285,2741,seller,4.0,1.5,5.0,1.5,3.0
286,2743,buyer,1.5,5.0,5.0,2.5,4.0
287,2743,seller,4.0,4.0,,2.0,3.0
288,2745,buyer,2.0,4.0,4.5,1.0,4.0
289,2745,seller,4.0,4.0,3.0,4.0,3.0
290,2746,buyer,2.5,4.0,5.0,2.0,4.0
291,2746,seller,2.5,3.0,4.0,4.0,5.0
292,2751,buyer,2.5,3.5,4.0,1.5,3.0
293,2751,seller,2.5,3.0,3.5,2.5,3.5
294,2759,buyer,2.0,4.5,3.5,3.0,4.0
295,2759,seller,2.5,4.5,3.5,2.5,1.5
296,2760,buyer,3.0,4.5,3.0,3.0,3.5
297,2760,seller,2.0,3.0,3.5,4.0,3.5
298,2761,buyer,1.5,4.5,4.0,2.5,4.0
299,2761,seller,2.0,2.0,4.0,3.0,4.0
300,2762,buyer,1.5,3.0,4.0,4.0,3.5
301,2762,seller,2.5,3.0,4.0,5.0,4.0
302,2765,buyer,1.5,5.0,3.5,3.0,4.5
303,2765,seller,3.5,3.5,2.5,2.5,3.5
304,2766,buyer,1.5,4.5,4.5,2.5,5.0
305,2766,seller,2.5,2.5,3.0,1.5,4.0
306,2773,buyer,3.0,4.5,5.0,1.0,3.0
307,2773,seller,3.5,5.0,2.0,2.0,2.5
308,2774,buyer,2.0,5.0,4.0,2.0,4.0
309,2774,seller,3.0,4.5,3.5,4.0,3.0
310,2776,buyer,1.5,4.0,3.5,1.5,4.0
311,2776,seller,1.5,2.0,4.5,4.5,4.5
312,2778,buyer,3.0,2.5,4.5,4.0,3.5
313,2778,seller,2.5,4.5,4.5,3.0,4.0
314,2779,buyer,2.5,3.0,4.5,2.5,3.5
315,2779,seller,2.0,2.5,3.0,2.5,4.0
316,2780,buyer,2.0,4.0,3.0,3.0,4.0
317,2780,seller,2.0,4.5,4.5,1.0,4.0
318,2781,buyer,2.0,4.5,2.5,3.5,3.0
319,2781,seller,2.0,3.5,4.5,3.0,4.0
320,2782,buyer,1.5,4.5,5.0,1.0,4.5
321,2782,seller,2.0,5.0,4.0,3.0,3.0
322,2783,buyer,2.5,4.0,4.5,2.0,3.5
323,2783,seller,4.0,3.0,3.5,5.0,3.5
324,2785,buyer,2.5,2.5,3.5,4.5,4.0
325,2785,seller,1.5,5.0,4.5,3.5,4.5
326,2787,buyer,3.0,3.0,2.5,3.0,3.0
327,2787,seller,2.5,4.0,2.5,4.5,3.0
328,2789,buyer,2.5,2.5,4.0,2.5,3.0
329,2789,seller,4.0,5.0,5.0,1.0,4.0
330,2792,buyer,3.0,5.0,4.0,2.0,3.0
331,2792,seller,2.5,4.0,2.0,3.0,3.5
332,2796,buyer,4.0,4.0,3.0,2.0,2.0
333,2796,seller,2.0,4.0,4.0,1.5,4.0
334,2800,buyer,3.5,3.5,,3.5,3.0
335,2800,seller,1.5,3.5,2.0,4.0,4.0
336,2801,buyer,2.5,2.5,3.5,5.0,3.5
337,2801,seller,3.5,2.0,2.0,2.0,1.0
338,2802,buyer,3.0,4.5,4.0,3.0,3.5
339,2802,seller,1.5,3.5,3.5,2.5,4.0
340,2804,buyer,3.0,3.0,4.0,2.0,3.0
341,2804,seller,2.5,4.5,2.5,3.0,3.0
342,2807,buyer,3.5,3.5,3.0,2.5,3.0
343,2807,seller,3.5,3.0,4.5,3.5,3.0
344,2808,buyer,3.5,3.5,3.0,5.0,2.5
345,2808,seller,1.0,4.5,5.0,1.0,5.0
346,2809,buyer,2.5,4.0,4.0,2.5,4.0
347,2809,seller,2.5,3.5,3.0,4.5,3.5
348,2811,buyer,3.0,3.5,3.0,3.5,2.0
349,2811,seller,4.5,4.0,5.0,1.5,2.5
350,2813,buyer,2.0,2.0,2.0,4.0,4.5
351,2813,seller,1.0,5.0,5.0,1.0,5.0
352,2814,buyer,2.0,4.0,4.0,2.0,4.5
353,2814,seller,1.5,2.5,5.0,5.0,5.0
354,2815,buyer,4.0,4.0,3.0,4.5,3.5
355,2815,seller,1.5,4.5,4.0,2.5,4.0
356,2817,buyer,1.5,4.0,3.0,3.5,4.0
357,2817,seller,2.0,3.5,4.5,3.0,3.5
358,2819,buyer,2.0,4.0,4.5,2.0,4.0
359,2819,seller,3.0,4.5,4.5,2.0,3.0
360,2820,buyer,2.5,4.5,4.0,3.0,4.0
361,2820,seller,2.5,3.5,4.5,2.5,3.5
362,2821,buyer,2.5,4.0,5.0,1.5,3.5
363,2821,seller,2.0,3.5,3.0,2.0,4.0
364,2823,buyer,2.5,4.0,4.0,2.0,3.0
365,2823,seller,1.5,4.5,3.5,4.0,5.0
366,2824,buyer,4.5,2.0,3.0,4.0,3.0
367,2824,seller,4.0,4.0,4.0,2.0,3.0
368,2825,buyer,3.0,4.0,4.0,3.5,3.5
369,2825,seller,2.0,3.5,3.0,3.5,3.5
370,2826,buyer,4.5,5.0,5.0,1.0,3.5
371,2826,seller,2.5,5.0,5.0,1.0,3.5
372,2827,buyer,3.0,4.5,4.5,3.0,3.5
373,2827,seller,3.0,3.5,3.5,2.0,3.0
374,2828,buyer,3.0,4.5,4.0,3.5,4.5
375,2828,seller,3.0,3.5,5.0,2.5,3.0
376,2832,buyer,2.5,4.0,3.5,3.0,3.5
377,2832,seller,1.0,3.0,3.5,3.0,5.0
378,2835,buyer,3.0,,5.0,1.0,3.5
379,2835,seller,3.0,4.0,3.5,3.0,3.0
380,2837,buyer,4.0,4.5,4.5,1.0,3.5
381,2837,seller,1.5,5.0,5.0,1.0,4.5
382,2846,buyer,2.0,4.0,4.0,5.0,4.0
383,2846,seller,1.5,3.0,5.0,3.0,4.0
384,2848,buyer,2.5,4.5,4.0,5.0,2.5
385,2848,seller,2.0,4.0,4.5,3.0,4.5
386,2849,buyer,2.5,4.5,3.5,1.0,5.0
387,2849,seller,3.0,2.0,2.0,5.0,1.0
388,2851,buyer,4.0,3.0,3.5,4.0,3.5
389,2851,seller,1.5,3.0,3.5,2.0,4.0
390,2852,buyer,1.0,2.5,4.0,4.0,5.0
391,2852,seller,2.0,2.0,3.0,2.5,4.0
392,2853,buyer,4.0,4.0,4.0,2.0,3.5
393,2853,seller,4.5,1.5,5.0,5.0,2.0
394,2854,buyer,5.0,3.0,5.0,3.5,1.0
395,2854,seller,2.0,2.0,2.5,2.5,4.5
396,2855,buyer,3.0,4.0,4.0,4.5,3.5
397,2855,seller,3.0,4.5,3.0,4.5,3.0
398,2856,buyer,1.5,3.5,4.0,4.0,4.5
399,2856,seller,2.5,4.0,3.5,3.5,3.0
400,2857,buyer,2.0,4.0,4.0,4.0,4.0
401,2857,seller,3.0,4.0,3.0,2.0,4.0
402,2858,buyer,3.5,3.5,4.5,1.0,3.0
403,2858,seller,3.0,3.0,5.0,1.5,4.0
404,2859,buyer,2.5,4.5,4.5,3.0,4.0
405,2859,seller,1.5,3.5,3.5,3.5,5.0
406,2860,buyer,2.5,5.0,4.5,1.5,3.0
407,2860,seller,3.0,5.0,4.5,2.0,2.0
408,2861,buyer,2.5,2.5,2.0,5.0,3.0
409,2861,seller,2.5,1.5,2.0,5.0,2.0
410,2862,buyer,2.0,3.5,3.5,1.0,4.5
411,2862,seller,1.5,3.5,3.0,5.0,5.0
412,2863,buyer,2.5,4.0,3.5,4.0,3.5
413,2863,seller,3.0,4.5,5.0,2.0,3.0
414,2864,buyer,3.0,4.0,3.0,2.0,3.0
415,2864,seller,3.0,5.0,5.0,1.5,3.0
416,2867,buyer,3.0,5.0,3.5,4.5,3.0
417,2867,seller,1.5,4.5,4.5,2.5,5.0
418,2868,buyer,3.0,4.0,4.0,2.5,3.5
419,2868,seller,2.0,4.0,5.0,1.5,4.5
420,2869,buyer,4.0,4.0,3.0,1.5,3.0
421,2869,seller,3.0,4.0,4.5,2.5,2.5
422,2871,buyer,1.5,4.5,5.0,1.0,4.5
423,2871,seller,2.5,5.0,5.0,1.5,3.5
424,2872,buyer,2.0,4.5,4.0,3.0,4.0
425,2872,seller,2.5,5.0,4.5,1.5,3.5
426,2873,buyer,3.0,5.0,4.5,2.0,3.0
427,2873,seller,3.5,5.0,5.0,1.5,3.0
428,2874,buyer,1.0,4.5,4.0,2.0,4.5
429,2874,seller,2.5,4.0,4.5,3.0,3.5
430,2875,buyer,3.5,4.0,4.0,2.0,4.0
431,2875,seller,2.0,2.0,5.0,1.5,5.0
432,2878,buyer,2.5,4.5,5.0,4.0,4.0
433,2878,seller,2.5,5.0,4.5,1.5,3.0
434,2879,buyer,3.0,2.0,3.0,5.0,3.5
435,2879,seller,2.5,4.5,5.0,2.0,4.0
436,2881,buyer,3.0,4.5,5.0,2.0,3.0
437,2881,seller,1.5,4.5,5.0,1.0,4.5
438,2889,buyer,3.0,4.0,3.5,2.5,3.0
439,2889,seller,3.0,3.5,3.0,4.0,3.5
