GroupID,Segment,Person.1,Person.2,LSM,WC.Person.1,WC.Person.2,ppron.Person.1,ppron.Person.2,ipron.Person.1,ipron.Person.2,article.Person.1,article.Person.2,prep.Person.1,prep.Person.2,negate.Person.1,negate.Person.2,adverb.Person.1,adverb.Person.2,auxverb.Person.1,auxverb.Person.2,conj.Person.1,conj.Person.2
2567,1,buyer,seller,0.86,380,477,13.42,14.47,5.53,6.92,7.89,6.08,13.16,9.22,3.16,3.56,6.84,2.52,9.21,10.06,7.63,6.29
2569,1,buyer,seller,0.61,87,244,18.39,18.03,9.2,1.64,3.45,8.2,10.34,10.66,3.45,0.82,0,3.28,12.64,11.07,3.45,6.56
2572,1,buyer,seller,0.87,392,395,11.99,12.41,7.4,4.81,9.44,9.11,13.27,9.11,2.3,3.04,2.04,4.3,13.78,11.65,7.4,7.34
2573,1,buyer,seller,0.71,185,117,9.19,11.97,8.65,6.84,9.19,11.97,7.03,5.98,1.08,5.13,2.7,6.84,14.05,15.38,11.89,1.71
2574,1,buyer,seller,0.61,99,161,21.21,18.63,4.04,5.59,0,5.59,3.03,11.8,2.02,0,6.06,8.7,8.08,9.94,7.07,7.45
2575,1,buyer,seller,0.30,46,60,10.87,6.67,0,6.67,8.7,10,0,5,0,1.67,0,3.33,8.7,15,0,1.67
2576,1,buyer,seller,0.89,352,244,14.49,14.75,7.39,9.84,4.83,6.15,10.23,9.43,4.55,1.64,5.11,5.33,12.78,12.7,6.53,7.79
2577,1,buyer,seller,0.76,205,282,10.73,8.51,8.78,9.93,9.76,9.57,5.85,8.87,0.49,4.96,4.88,8.16,11.71,11.35,7.8,3.19
2578,1,buyer,seller,0.77,445,482,20.22,22.41,3.37,6.64,4.72,4.56,15.28,15.15,5.84,0.83,3.82,1.66,9.89,12.45,6.74,4.56
2580,1,buyer,seller,0.54,193,56,13.47,12.5,3.63,10.71,6.22,3.57,19.17,10.71,2.07,0,5.18,14.29,10.88,8.93,7.25,0
2581,1,buyer,seller,0.71,201,341,20.9,13.78,3.98,5.57,9.45,5.57,9.95,12.61,3.48,3.81,0,2.64,9.45,12.9,5.47,11.44
2582,1,buyer,seller,0.62,290,93,9.66,18.28,6.9,4.3,7.24,2.15,13.1,5.38,2.41,0,4.83,7.53,11.72,19.35,11.38,12.9
2583,1,buyer,seller,0.66,227,210,18.06,11.9,3.52,3.81,7.49,0.95,7.05,5.24,0,7.14,3.96,6.19,9.25,13.81,6.17,7.62
2585,1,buyer,seller,0.38,209,42,13.4,11.9,0.48,9.52,11.96,4.76,11,16.67,0.48,0,1.44,11.9,9.09,0,8.13,2.38
2586,1,buyer,seller,0.76,183,239,16.39,9.62,5.46,10.04,7.65,4.18,17.49,15.06,3.28,0.84,1.64,2.09,7.65,12.97,3.83,4.18
2587,1,buyer,seller,0.80,640,300,12.19,12,10.47,6.67,7.5,5,8.75,5.33,2.5,7.67,6.25,5,11.41,14.33,8.28,5.67
2588,1,buyer,seller,0.80,314,425,15.92,14.12,7.64,4.71,7.32,6.12,3.82,7.76,6.05,2.35,6.69,6.12,12.1,12.47,3.82,7.76
2589,1,buyer,seller,0.86,391,150,13.04,13.33,6.91,6,11.25,6,9.72,15.33,2.81,2,1.53,2.67,11.51,12.67,9.46,8.67
2590,1,buyer,seller,0.77,163,183,19.02,20.22,4.29,8.74,6.75,4.37,7.98,6.56,6.75,3.83,6.13,1.64,11.04,11.48,11.04,6.01
2591,1,buyer,seller,0.69,128,223,30.47,15.25,3.13,4.93,3.91,4.48,9.38,9.87,0,3.14,1.56,5.83,14.06,11.21,5.47,7.62
2593,1,buyer,seller,0.57,144,104,22.92,20.19,1.39,0.96,11.81,4.81,5.56,4.81,0,1.92,4.17,0.96,6.25,15.38,4.86,0.96
2594,1,buyer,seller,0.75,174,203,14.37,12.32,6.32,3.94,9.2,8.87,13.22,12.32,0.57,0,2.87,4.43,11.49,14.29,4.02,7.39
2595,1,buyer,seller,0.86,444,368,16.22,20.38,3.6,4.62,3.38,6.25,7.21,9.78,2.7,1.9,2.7,3.26,11.26,11.68,7.66,5.98
2596,1,buyer,seller,0.77,302,134,12.91,14.93,3.64,6.72,7.95,7.46,13.91,11.19,0.33,4.48,6.62,2.24,11.92,11.94,7.62,7.46
2597,1,buyer,seller,0.85,455,300,14.07,14.67,2.64,4.67,10.55,8.33,7.69,6.67,3.52,4,2.86,6.33,9.89,11.33,7.25,5
2599,1,buyer,seller,0.56,42,101,11.9,9.9,7.14,1.98,7.14,10.89,7.14,5.94,0,1.98,11.9,5.94,16.67,9.9,0,7.92
2600,1,buyer,seller,0.72,300,232,13.33,18.53,2.67,4.74,7.33,6.47,12.33,11.64,1.67,0,2.67,1.72,15,6.47,5.33,6.9
2602,1,buyer,seller,0.86,352,254,14.77,18.11,2.84,1.97,7.95,4.33,11.65,9.45,1.42,1.57,3.41,2.76,9.66,7.87,6.53,4.72
2603,1,buyer,seller,0.75,69,168,14.49,16.67,1.45,2.38,5.8,8.93,0,13.1,1.45,1.19,4.35,5.95,10.14,10.12,2.9,4.76
2606,1,buyer,seller,0.71,147,131,17.69,8.4,2.04,0,8.16,12.21,8.16,13.74,1.36,1.53,3.4,4.58,9.52,13.74,9.52,6.87
2607,1,buyer,seller,0.82,274,121,16.42,14.88,5.47,1.65,8.76,11.57,7.3,6.61,1.09,0.83,1.46,1.65,9.49,9.09,9.49,3.31
2609,1,buyer,seller,0.55,52,122,17.31,27.05,0,4.1,1.92,5.74,5.77,12.3,5.77,0,11.54,6.56,13.46,14.75,3.85,5.74
2611,1,buyer,seller,0.84,300,529,19,18.15,4,3.4,6.67,6.81,6,14.74,1.67,2.08,1.67,4.16,12,10.96,4.67,6.43
2613,1,buyer,seller,0.81,83,65,18.07,21.54,3.61,4.62,0,0,10.84,4.62,0,0,2.41,4.62,12.05,12.31,1.2,4.62
2616,1,buyer,seller,0.91,264,244,13.64,13.52,7.95,6.15,7.2,6.97,10.23,10.66,2.27,2.87,4.55,6.56,12.88,14.34,4.92,7.79
2621,1,buyer,seller,0.65,108,147,12.04,19.05,1.85,4.08,3.7,2.72,1.85,7.48,7.41,6.8,0,4.76,10.19,13.61,5.56,9.52
2623,1,buyer,seller,0.72,178,255,12.92,12.16,2.81,4.71,6.74,9.8,12.36,14.51,3.37,0.78,2.81,1.57,6.74,12.94,10.67,3.53
2624,1,buyer,seller,0.66,360,224,11.67,18.75,7.22,7.14,9.72,7.59,15,11.16,1.94,0.89,6.67,0.89,8.61,12.95,8.89,0.45
2625,1,buyer,seller,0.82,639,299,18.47,17.06,4.69,1.34,7.2,9.03,9.86,8.03,3.13,2.01,5.79,4.35,12.05,13.71,4.85,7.69
2626,1,buyer,seller,0.67,111,200,18.02,15.5,1.8,8,3.6,7,6.31,9,0,0,0,6,9.01,17.5,4.5,5.5
2627,1,buyer,seller,0.73,671,448,17.29,14.73,3.13,7.59,9.99,5.8,6.26,8.48,0.45,2.46,5.37,11.16,9.24,11.83,7,8.93
2628,1,buyer,seller,0.78,217,130,14.29,15.38,3.69,2.31,5.99,7.69,11.98,19.23,0.92,0.77,6.91,2.31,9.68,6.15,6.91,3.85
2629,1,buyer,seller,0.80,322,331,17.7,16.31,2.8,5.44,11.18,6.34,12.73,11.18,2.8,0.91,3.42,2.11,11.8,9.37,7.14,6.65
2630,1,buyer,seller,0.88,428,295,26.87,24.41,4.21,3.05,3.5,4.41,9.35,5.42,3.27,3.39,4.67,4.07,8.18,10.85,8.18,10.51
2632,1,buyer,seller,0.78,325,542,13.54,12.18,10.15,2.77,10.15,12.55,8.92,13.1,1.54,3.32,2.15,4.61,9.23,9.41,5.54,6.83
2633,1,buyer,seller,0.75,340,367,12.65,19.07,7.06,4.63,10,7.08,12.35,6.81,0.29,2.72,2.94,4.36,12.06,13.35,6.18,7.63
2634,1,buyer,seller,0.81,166,290,20.48,16.55,8.43,4.83,2.41,5.52,6.63,8.97,1.2,2.41,6.02,7.24,13.86,11.03,7.23,8.28
2635,1,buyer,seller,0.59,113,115,18.58,16.52,17.7,2.61,1.77,7.83,11.5,10.43,0,1.74,2.65,6.96,20.35,9.57,4.42,4.35
2640,1,buyer,seller,0.86,159,243,15.72,13.99,3.77,3.7,11.32,11.52,11.32,11.11,3.77,0.82,1.89,1.23,13.84,9.88,5.66,6.17
2641,1,buyer,seller,0.76,266,224,13.91,9.38,2.26,5.8,16.17,16.52,6.39,6.7,3.76,0,5.64,3.57,10.53,10.71,4.51,4.91
2644,1,buyer,seller,0.84,398,290,11.56,14.48,5.78,3.79,11.56,13.1,9.8,8.97,3.02,2.76,9.55,3.45,13.07,11.03,5.03,3.1
2646,1,buyer,seller,0.61,168,113,12.5,20.35,5.36,0.88,2.98,9.73,3.57,6.19,4.17,0,4.76,7.08,13.69,12.39,4.17,3.54
2650,1,buyer,seller,0.52,42,140,7.14,7.14,9.52,2.14,9.52,4.29,4.76,5.71,0,3.57,0,7.86,9.52,3.57,4.76,2.86
2651,1,buyer,seller,0.73,93,214,16.13,20.56,6.45,7.48,6.45,4.67,0,2.8,3.23,3.27,3.23,10.75,11.83,10.75,11.83,7.48
2652,1,buyer,seller,0.86,1310,588,12.98,13.27,4.5,6.63,8.4,12.41,12.29,6.8,2.6,4.08,4.96,4.59,10.08,14.29,6.72,6.8
2653,1,buyer,seller,0.84,397,992,13.6,16.13,6.8,6.05,10.08,6.35,6.8,7.96,4.79,6.65,3.53,4.84,11.34,10.99,2.02,5.44
2654,1,buyer,seller,0.89,257,538,15.95,10.97,3.5,7.25,10.12,10.97,8.95,8.74,1.56,1.86,5.84,5.58,10.51,12.83,7.39,5.95
2655,1,buyer,seller,0.75,168,373,15.48,13.14,1.79,5.9,7.74,9.12,5.95,9.38,3.57,5.9,2.38,4.56,11.31,11.53,10.71,3.75
2656,1,buyer,seller,0.86,317,344,14.51,12.5,7.57,5.23,4.73,6.4,16.4,8.43,2.84,2.91,7.89,6.1,10.73,13.08,4.42,5.81
2657,1,buyer,seller,0.87,517,755,15.67,14.7,4.06,4.11,6.19,7.42,9.28,12.45,3.09,2.91,5.42,1.46,11.99,10.86,6.96,5.43
2658,1,buyer,seller,0.77,175,118,19.43,9.32,8,11.86,4.57,10.17,4.57,10.17,0,0,3.43,6.78,9.71,12.71,5.71,6.78
2659,1,buyer,seller,0.78,182,127,17.03,16.54,1.1,3.94,8.24,10.24,2.75,7.87,1.65,0.79,3.85,3.15,11.54,10.24,11.54,10.24
2660,1,buyer,seller,0.84,252,287,15.08,18.12,2.78,2.09,9.92,10.8,11.11,8.71,3.57,1.05,4.76,3.83,15.48,11.15,3.57,3.83
2661,1,buyer,seller,0.59,157,113,17.2,15.04,2.55,3.54,7.64,9.73,5.73,7.08,0,2.65,6.37,0,14.01,21.24,10.83,2.65
2662,1,buyer,seller,0.84,322,385,17.39,15.58,4.04,3.64,10.56,9.35,9.94,10.39,0.62,3.38,2.17,2.6,9.01,9.61,8.39,4.94
2663,1,buyer,seller,0.80,318,320,16.35,14.06,8.18,6.88,6.6,5.94,11.64,9.69,0.63,7.19,5.97,5,13.84,10.31,4.72,7.19
2664,1,buyer,seller,0.47,112,94,16.07,14.89,1.79,3.19,4.46,5.32,8.93,0,0.89,0,8.04,0,4.46,8.51,3.57,11.7
2665,1,buyer,seller,0.80,195,223,18.46,15.7,5.13,8.97,4.1,8.07,8.21,9.87,2.56,3.14,4.1,2.69,10.26,12.11,8.21,3.14
2667,1,buyer,seller,0.47,192,61,13.54,11.48,3.13,1.64,11.46,14.75,8.85,4.92,1.56,0,0,3.28,7.81,18.03,3.13,0
2669,1,buyer,seller,0.65,178,109,21.91,12.84,1.69,6.42,6.74,11.01,6.74,4.59,0.56,2.75,3.93,1.83,8.43,16.51,10.67,7.34
2671,1,buyer,seller,0.78,156,212,15.38,14.62,5.13,4.25,9.62,6.13,8.33,8.49,0,1.89,5.13,7.55,9.62,9.91,6.41,9.91
2675,1,buyer,seller,0.74,330,170,15.45,13.53,4.24,2.35,6.67,12.94,11.21,8.24,1.52,1.18,6.67,0,13.94,13.53,7.58,8.82
2676,1,buyer,seller,0.70,170,300,21.76,14.33,5.29,3,4.71,7.33,7.06,16.67,1.76,0.33,10,7,11.76,13,8.82,3.67
2677,1,buyer,seller,0.66,110,225,19.09,13.78,1.82,5.33,3.64,4.89,10,12,2.73,0.44,1.82,9.33,10,12,5.45,10.67
2678,1,buyer,seller,0.87,167,277,11.38,15.52,4.79,5.42,7.19,6.14,13.17,10.83,1.2,2.17,5.39,3.97,13.17,12.64,8.38,5.42
2679,1,buyer,seller,0.78,323,102,16.1,20.59,5.88,4.9,5.88,4.9,11.15,5.88,0.93,1.96,7.74,1.96,10.53,13.73,8.36,7.84
2680,1,buyer,seller,0.85,586,201,18.43,15.92,5.8,1,9.39,8.96,7.51,8.96,2.73,3.48,4.44,4.48,10.24,14.43,5.97,5.47
2684,1,buyer,seller,0.82,224,225,12.95,15.56,7.14,7.56,7.14,6.22,8.04,10.22,4.02,4,0.89,4.44,11.61,13.78,8.93,4
2685,1,buyer,seller,0.82,361,595,12.19,14.12,6.93,4.54,7.2,7.56,4.43,9.58,5.26,2.86,3.05,5.55,13.85,9.75,7.2,7.39
2686,1,buyer,seller,0.65,128,142,17.19,10.56,3.91,4.23,7.81,9.86,4.69,2.11,2.34,0,4.69,0,10.16,9.86,7.03,7.75
2687,1,buyer,seller,0.67,216,271,15.28,18.08,2.31,6.64,8.33,4.43,19.91,8.12,3.24,1.11,1.39,3.69,8.33,9.96,4.17,7.38
2688,1,buyer,seller,0.70,422,113,14.93,17.7,7.35,5.31,7.35,7.08,10.19,8.85,2.61,0,4.98,8.85,7.58,10.62,8.29,1.77
2689,1,buyer,seller,0.41,39,46,7.69,17.39,12.82,0,7.69,0,0,4.35,0,0,20.51,15.22,12.82,8.7,0,2.17
2691,1,buyer,seller,0.79,554,1034,19.49,14.99,4.51,5.71,6.14,8.32,6.5,15.38,2.71,1.64,6.5,4.45,16.25,9.77,7.04,4.64
2693,1,buyer,seller,0.85,425,270,16.71,12.59,4.94,4.44,5.88,10,10.12,10,3.29,3.7,3.53,6.67,10.82,9.26,10.35,5.93
2694,1,buyer,seller,0.75,289,210,14.88,17.62,2.77,8.57,4.5,8.57,3.11,3.33,6.57,5.71,3.11,1.43,8.65,14.29,5.88,2.86
2695,1,buyer,seller,0.83,208,153,16.83,13.73,1.92,6.54,7.69,6.54,10.58,11.76,1.44,1.96,6.73,5.88,10.1,18.3,6.25,7.19
2696,1,buyer,seller,0.32,356,47,19.1,19.15,2.81,0,4.78,0,9.83,0,0.84,0,8.99,2.13,9.27,12.77,11.52,2.13
2697,1,buyer,seller,0.83,118,145,14.41,15.17,5.93,7.59,6.78,4.83,5.93,9.66,1.69,1.38,4.24,5.52,17.8,8.28,3.39,5.52
2699,1,buyer,seller,0.70,211,98,13.74,7.14,1.9,1.02,10.43,13.27,12.32,3.06,0.95,4.08,3.32,5.1,9.48,14.29,6.64,7.14
2702,1,buyer,seller,0.83,329,376,15.2,10.64,9.12,14.63,6.69,7.71,9.12,6.65,2.74,5.32,3.65,5.85,13.68,17.02,6.99,6.65
2703,1,buyer,seller,0.76,253,373,22.92,17.69,2.37,2.95,5.14,6.97,10.67,13.14,1.19,3.49,6.72,1.34,7.91,11.8,7.51,6.97
2706,1,buyer,seller,0.75,308,376,18.51,18.09,5.52,3.19,3.25,6.38,10.06,13.56,4.87,0.8,5.19,3.72,15.26,7.71,4.22,4.79
2710,1,buyer,seller,0.82,307,137,17.92,19.71,3.26,7.3,8.47,7.3,7.49,7.3,1.3,2.19,3.58,9.49,11.07,9.49,5.54,4.38
2716,1,buyer,seller,0.78,519,474,15.41,15.19,5.97,2.11,8.86,9.07,14.45,16.67,0.77,1.27,5.01,1.05,7.71,8.86,7.13,4.64
2717,1,buyer,seller,0.74,173,220,13.29,14.09,10.4,1.82,7.51,8.64,8.67,10.45,3.47,1.82,4.05,8.18,10.98,9.55,3.47,8.64
2718,1,buyer,seller,0.79,243,188,13.99,14.36,5.35,1.6,11.52,9.57,10.29,15.96,0.41,1.06,5.35,6.91,12.35,9.04,4.53,5.85
2719,1,buyer,seller,0.56,62,71,16.13,29.58,0,2.82,4.84,0,3.23,14.08,3.23,2.82,3.23,9.86,9.68,9.86,8.06,8.45
2720,1,buyer,seller,0.75,367,326,8.45,14.11,3,3.07,12.53,9.51,16.89,16.87,0,0.92,3,3.07,12.81,7.98,7.9,3.68
2721,1,buyer,seller,0.72,147,116,11.56,11.21,6.8,1.72,4.08,7.76,7.48,6.03,6.12,6.9,0,2.59,11.56,15.52,6.12,6.03
2728,1,buyer,seller,0.83,268,149,16.04,16.78,8.96,6.04,7.46,4.7,7.09,7.38,2.24,3.36,2.24,5.37,11.57,12.08,6.34,4.03
2729,1,buyer,seller,0.89,291,433,13.4,12.93,8.25,3.46,8.59,8.31,11.34,12.47,2.06,1.85,6.87,4.62,10.65,11.32,8.25,6.7
2730,1,buyer,seller,0.79,282,469,13.12,15.78,0.71,4.05,10.28,8.96,3.9,13.01,1.42,1.49,6.03,7.89,9.57,9.59,8.51,6.82
2731,1,buyer,seller,0.80,200,263,10.5,14.07,3,4.18,12,7.6,9,10.27,5,3.42,3,6.08,8.5,11.41,4.5,8.75
2733,1,buyer,seller,0.87,409,483,22.25,20.08,5.38,8.07,3.18,6.42,8.56,7.87,2.44,1.24,6.36,6.63,11.98,11.8,6.85,6.42
2736,1,buyer,seller,0.80,293,370,17.06,14.59,5.8,3.51,7.85,10.27,6.14,6.76,7.85,1.62,5.12,5.68,11.26,14.32,8.19,4.86
2737,1,buyer,seller,0.68,75,195,10.67,14.36,6.67,7.69,5.33,7.69,4,11.79,4,1.03,0,8.21,10.67,11.79,4,4.1
2738,1,buyer,seller,0.80,139,85,15.83,20,2.16,2.35,7.19,3.53,8.63,12.94,0.72,1.18,2.16,1.18,13.67,12.94,2.16,4.71
2740,1,buyer,seller,0.43,301,154,19.6,10.39,3.99,2.6,4.98,0,11.63,3.25,0.66,0,3.65,0,9.3,12.99,6.31,3.25
2741,1,buyer,seller,0.91,574,321,10.1,13.08,6.27,7.48,7.32,7.17,6.27,6.85,4.18,4.67,4.7,2.18,9.23,9.03,6.27,6.23
2743,1,buyer,seller,0.76,327,320,20.49,15,2.75,5.63,6.73,7.19,10.4,9.69,0,1.25,3.67,4.38,15.29,12.5,4.59,5.94
2745,1,buyer,seller,0.88,239,274,14.23,16.79,7.53,5.11,7.95,8.03,10.46,9.85,1.26,1.46,3.35,5.11,7.95,9.85,3.77,6.57
2746,1,buyer,seller,0.72,161,229,19.88,16.59,0,9.17,10.56,3.93,8.07,10.04,1.86,2.62,3.73,4.8,9.94,11.35,8.7,5.24
2751,1,buyer,seller,0.44,81,93,11.11,7.53,0,12.9,0,2.15,14.81,8.6,0,4.3,8.64,7.53,11.11,8.6,1.23,13.98
2759,1,buyer,seller,0.72,311,200,15.76,17.5,1.93,6,8.36,9,10.61,8,1.29,7.5,4.5,4,12.86,14,8.36,1.5
2760,1,buyer,seller,0.64,162,121,14.2,15.7,6.17,1.65,8.64,10.74,5.56,9.92,0.62,2.48,9.26,0,14.2,10.74,4.32,5.79
2761,1,buyer,seller,0.73,188,251,15.96,15.94,12.23,6.77,2.66,7.97,10.11,7.97,1.6,1.2,0,7.97,12.77,10.76,8.51,7.97
2762,1,buyer,seller,0.83,220,289,20.45,15.57,3.64,3.81,5,5.88,15.45,10.73,5,7.27,7.73,4.15,9.09,17.65,10,7.61
2765,1,buyer,seller,0.89,203,422,16.26,14.69,6.4,6.64,5.42,7.82,7.39,10.66,1.48,1.9,9.85,8.29,12.32,13.98,7.39,10.19
2766,1,buyer,seller,0.76,111,180,16.22,13.89,4.5,3.89,10.81,7.22,9.91,5,2.7,1.67,0,2.78,15.32,16.11,9.91,10
2773,1,buyer,seller,0.70,110,112,16.36,14.29,2.73,0,8.18,8.04,4.55,10.71,1.82,6.25,4.55,8.04,9.09,8.93,6.36,8.04
2774,1,buyer,seller,0.67,168,194,20.24,15.46,4.17,0.52,2.98,11.86,8.33,11.34,3.57,1.03,5.36,6.7,14.29,10.31,7.14,10.31
2776,1,buyer,seller,0.64,192,229,18.23,16.59,1.56,5.24,10.94,9.17,6.77,7.42,0,3.93,7.29,2.18,8.85,13.54,9.9,4.37
2778,1,buyer,seller,0.72,333,147,12.01,12.93,6.91,14.29,12.31,7.48,12.01,11.56,1.5,8.16,5.11,2.72,10.51,17.69,3,6.12
2779,1
2780,1,buyer,seller,0.87,539,533,17.44,15.76,5.01,5.44,8.16,6.19,10.58,13.32,3.34,2.06,3.9,3.94,7.79,10.69,8.53,4.5
2781,1,buyer,seller,0.79,224,233,15.18,16.74,7.14,3.43,8.93,11.16,6.7,12.02,1.79,3,7.59,3.43,8.93,8.58,6.25,3.86
2782,1,buyer,seller,0.82,419,312,14.8,15.38,7.88,7.37,6.44,5.13,10.98,10.26,2.63,4.81,2.39,4.81,7.4,14.42,5.01,8.97
2783,1,buyer,seller,0.74,158,136,18.35,8.82,3.8,2.21,4.43,16.18,6.96,9.56,4.43,2.21,7.59,8.09,13.92,12.5,7.59,3.68
2785,1,buyer,seller,0.73,104,97,20.19,16.49,4.81,5.15,10.58,10.31,9.62,9.28,0,3.09,4.81,6.19,7.69,16.49,8.65,3.09
2787,1,buyer,seller,0.88,394,416,11.93,10.82,7.87,6.25,6.85,7.21,5.33,13.46,2.79,3.13,4.31,3.61,14.47,12.74,7.87,6.49
2789,1,buyer,seller,0.83,371,292,17.79,9.25,4.04,9.25,10.24,9.93,11.05,10.96,3.77,2.4,6.2,5.48,12.4,8.22,7.28,5.82
2792,1,buyer,seller,0.79,232,270,14.66,19.26,3.45,3.7,5.6,9.63,18.1,11.11,1.29,0.37,7.76,4.81,8.19,10.37,8.19,6.3
2796,1,buyer,seller,0.77,730,515,15.89,16.7,2.47,5.44,7.95,3.5,13.97,7.96,2.88,5.24,6.03,3.88,10.68,13.4,10.96,8.35
