,Unnamed: 0,kodis-id,buyer or seller,extroversion_score,agreeableness_score,conscientiousness_score,neuroticism_score,openness_score
141,141,2624,seller,Medium,Medium,Medium,Medium,Medium
142,142,2625,buyer,Low,High,Low,Medium,High
143,143,2625,seller,Medium,Low,Low,Medium,Medium
144,144,2626,buyer,Medium,High,Low,Medium,High
145,145,2626,seller,Medium,High,High,Out of Range,Medium
146,146,2627,buyer,Medium,High,Medium,Medium,Medium
147,147,2627,seller,Medium,Medium,Medium,Medium,Medium
148,148,2628,buyer,Medium,Medium,Out of Range,Low,Medium
149,149,2628,seller,Low,Medium,Medium,High,High
150,150,2629,buyer,Low,Medium,Low,Low,High
151,151,2629,seller,Medium,High,Medium,Low,Medium
152,152,2630,buyer,Medium,Medium,Medium,High,Medium
153,153,2630,seller,High,Medium,Medium,High,Low
154,154,2632,buyer,Medium,Medium,Medium,Medium,Medium
155,155,2632,seller,Low,Medium,High,Low,High
156,156,2633,buyer,Medium,High,Medium,Medium,Medium
157,157,2633,seller,Low,High,Medium,Medium,High
158,158,2634,buyer,Low,Medium,Medium,Low,High
159,159,2634,seller,Low,High,Medium,Medium,High
160,160,2635,buyer,Medium,Medium,Medium,Medium,Medium
161,161,2635,seller,Low,High,High,Low,High
162,162,2640,buyer,Low,High,High,Medium,Medium
163,163,2640,seller,Low,High,High,High,High
164,164,2641,buyer,Low,High,Medium,Medium,High
165,165,2641,seller,Medium,Medium,High,High,Medium
166,166,2644,buyer,Medium,Medium,High,Low,High
167,167,2644,seller,Medium,Medium,High,Medium,High
168,168,2646,buyer,Low,High,High,Medium,Medium
169,169,2646,seller,Low,High,High,High,High
170,170,2650,buyer,Medium,Medium,High,Medium,Medium
171,171,2650,seller,Low,Low,Medium,Medium,High
172,172,2651,buyer,Low,High,High,Medium,Medium
173,173,2651,seller,Low,Medium,High,Medium,High
174,174,2652,buyer,Low,High,Medium,High,Medium
175,175,2652,seller,Medium,High,Medium,High,Medium
176,176,2653,buyer,Low,High,High,Medium,High
177,177,2653,seller,Low,High,High,Medium,High
178,178,2654,buyer,Medium,Medium,Medium,Medium,High
179,179,2654,seller,Medium,High,High,High,High
180,180,2655,buyer,Medium,High,Medium,High,Medium
181,181,2655,seller,High,Medium,High,Medium,Medium
182,182,2656,buyer,Low,Medium,Medium,High,High
183,183,2656,seller,Low,Medium,High,Low,High
184,184,2657,buyer,Medium,High,High,Medium,Medium
185,185,2657,seller,Low,Medium,Medium,High,High
186,186,2658,buyer,Low,High,Medium,Medium,Medium
187,187,2658,seller,Low,Medium,Medium,High,High
188,188,2659,buyer,Medium,High,Medium,Medium,High
189,189,2659,seller,Medium,High,High,Low,Medium
190,190,2660,buyer,Medium,Medium,High,Low,High
191,191,2660,seller,Medium,Medium,Medium,Medium,High
192,192,2661,buyer,Medium,High,High,Medium,Medium
193,193,2661,seller,Low,Medium,Medium,Medium,High
194,194,2662,buyer,Low,High,High,Low,High
195,195,2662,seller,Medium,Medium,Medium,Medium,Medium
196,196,2663,buyer,Medium,High,High,Low,High
197,197,2663,seller,Medium,Medium,Medium,High,Medium
198,198,2664,buyer,Low,Low,High,High,High
199,199,2664,seller,Medium,High,Medium,Medium,Medium
200,200,2665,buyer,Low,High,Medium,Medium,High
201,201,2665,seller,Medium,High,Medium,High,Medium
202,202,2667,buyer,Low,High,Medium,High,High
203,203,2667,seller,Low,Medium,Low,High,Medium
204,204,2669,buyer,Low,High,Medium,High,High
205,205,2669,seller,Medium,Medium,High,Medium,Medium
206,206,2671,buyer,Low,Low,Medium,Medium,Medium
207,207,2671,seller,Low,Medium,Medium,Medium,High
208,208,2675,buyer,High,High,High,Medium,Medium
209,209,2675,seller,Low,High,High,Low,High
210,210,2676,buyer,Medium,High,High,Medium,Medium
211,211,2676,seller,Low,Medium,Medium,High,Medium
212,212,2677,buyer,Low,Medium,High,Medium,Medium
213,213,2677,seller,Low,Low,Medium,High,High
214,214,2678,buyer,Medium,High,High,Low,High
215,215,2678,seller,Medium,Medium,High,Medium,High
216,216,2679,buyer,Low,Medium,Medium,High,High
217,217,2679,seller,Low,Medium,High,Low,Medium
218,218,2680,buyer,Medium,Medium,High,High,High
219,219,2680,seller,Low,Low,High,High,High
220,220,2684,buyer,Medium,High,Medium,Medium,Medium
221,221,2684,seller,Medium,Medium,Medium,Medium,Medium
222,222,2685,buyer,Low,High,High,Low,High
223,223,2685,seller,Low,Medium,High,High,High
224,224,2686,buyer,Low,High,High,Low,Medium
225,225,2686,seller,Medium,Low,Medium,High,Low
226,226,2687,buyer,Low,Low,High,High,High
227,227,2687,seller,Low,Low,Medium,Medium,Medium
228,228,2688,buyer,Low,Medium,High,Medium,Medium
229,229,2688,seller,Medium,High,High,Low,Medium
230,230,2689,buyer,Low,Medium,Low,Medium,High
231,231,2689,seller,Medium,High,Low,Medium,Low
232,232,2691,buyer,Low,High,Medium,High,High
233,233,2691,seller,Medium,Medium,High,Low,Medium
234,234,2693,buyer,Medium,Medium,Medium,Low,Medium
235,235,2693,seller,Low,High,Low,Low,High
236,236,2694,buyer,Medium,Medium,High,Medium,Medium
237,237,2694,seller,Medium,High,High,Medium,Medium
238,238,2695,buyer,Low,Medium,Medium,Medium,High
239,239,2695,seller,Low,Medium,High,Medium,Medium
240,240,2696,buyer,Low,Medium,High,Medium,High
241,241,2696,seller,Medium,Medium,Medium,Medium,Medium
242,242,2697,buyer,Medium,Medium,High,Medium,Medium
243,243,2697,seller,Low,Low,Medium,High,Medium
244,244,2699,buyer,Low,Medium,Medium,Medium,High
245,245,2699,seller,Low,Medium,High,Medium,High
246,246,2702,buyer,High,Medium,Medium,Medium,Medium
247,247,2702,seller,Low,Medium,High,Medium,High
248,248,2703,buyer,Low,High,High,Low,High
249,249,2703,seller,Low,Medium,Medium,Low,High
250,250,2706,buyer,Low,Low,Medium,Medium,High
251,251,2706,seller,Low,High,Medium,Medium,High
252,252,2710,buyer,Low,High,High,Low,Medium
253,253,2710,seller,Low,High,High,Low,Medium
254,254,2716,buyer,Low,Medium,High,Medium,High
255,255,2716,seller,Medium,High,High,Medium,Medium
256,256,2717,buyer,Medium,Medium,High,Medium,Medium
257,257,2717,seller,Low,Low,Medium,Medium,High
258,258,2718,buyer,Low,Medium,High,Medium,High
259,259,2718,seller,Low,High,Medium,High,Medium
260,260,2719,buyer,Medium,Medium,Medium,Medium,Medium
261,261,2719,seller,Medium,High,Medium,Medium,High
262,262,2720,buyer,Medium,Medium,High,High,Medium
263,263,2720,seller,Low,High,High,Medium,High
264,264,2721,buyer,Medium,High,Medium,High,Low
265,265,2721,seller,Medium,Medium,Low,Low,Medium
266,266,2728,buyer,Medium,Medium,High,Medium,Medium
267,267,2728,seller,Medium,Medium,Medium,Medium,Medium
268,268,2729,buyer,Medium,Medium,High,Medium,Medium
269,269,2729,seller,Medium,Medium,High,Medium,High
270,270,2730,buyer,Medium,Medium,High,High,Medium
271,271,2730,seller,High,High,Medium,Medium,Medium
272,272,2731,buyer,Medium,High,Medium,Medium,Medium
273,273,2731,seller,Medium,High,High,Medium,Medium
274,274,2733,buyer,Medium,High,High,Low,Medium
275,275,2733,seller,Medium,High,High,Medium,Medium
276,276,2736,buyer,Medium,High,High,Low,Medium
277,277,2736,seller,Low,High,High,High,High
278,278,2737,buyer,Low,Medium,Medium,High,High
279,279,2737,seller,High,Medium,Medium,Low,Medium
280,280,2738,buyer,Medium,High,High,Medium,Low
281,281,2738,seller,Low,High,High,Medium,High
282,282,2740,buyer,Medium,Medium,High,Medium,Medium
283,283,2740,seller,Medium,High,High,Low,Medium
284,284,2741,buyer,Medium,Medium,Medium,Medium,Medium
285,285,2741,seller,High,Low,High,Low,Medium
286,286,2743,buyer,Low,High,High,Medium,High
287,287,2743,seller,High,High,Out of Range,Low,Medium
288,288,2745,buyer,Low,High,High,Low,High
289,289,2745,seller,High,High,Medium,High,Medium
290,290,2746,buyer,Medium,High,High,Low,High
291,291,2746,seller,Medium,Medium,High,High,High
292,292,2751,buyer,Medium,Medium,High,Low,Medium
293,293,2751,seller,Medium,Medium,Medium,Medium,Medium
294,294,2759,buyer,Low,High,Medium,Medium,High
295,295,2759,seller,Medium,High,Medium,Medium,Low
296,296,2760,buyer,Medium,High,Medium,Medium,Medium
297,297,2760,seller,Low,Medium,Medium,High,Medium
298,298,2761,buyer,Low,High,High,Medium,High
299,299,2761,seller,Low,Low,High,Medium,High
300,300,2762,buyer,Low,Medium,High,High,Medium
301,301,2762,seller,Medium,Medium,High,High,High
302,302,2765,buyer,Low,High,Medium,Medium,High
303,303,2765,seller,Medium,Medium,Medium,Medium,Medium
304,304,2766,buyer,Low,High,High,Medium,High
305,305,2766,seller,Medium,Medium,Medium,Low,High
306,306,2773,buyer,Medium,High,High,Low,Medium
307,307,2773,seller,Medium,High,Low,Low,Medium
308,308,2774,buyer,Low,High,High,Low,High
309,309,2774,seller,Medium,High,Medium,High,Medium
310,310,2776,buyer,Low,High,Medium,Low,High
311,311,2776,seller,Low,Low,High,High,High
312,312,2778,buyer,Medium,Medium,High,High,Medium
313,313,2778,seller,Medium,High,High,Medium,High
314,314,2779,buyer,Medium,Medium,High,Medium,Medium
315,315,2779,seller,Low,Medium,Medium,Medium,High
316,316,2780,buyer,Low,High,Medium,Medium,High
317,317,2780,seller,Low,High,High,Low,High
318,318,2781,buyer,Low,High,Medium,Medium,Medium
319,319,2781,seller,Low,Medium,High,Medium,High
320,320,2782,buyer,Low,High,High,Low,High
321,321,2782,seller,Low,High,High,Medium,Medium
322,322,2783,buyer,Medium,High,High,Low,Medium
323,323,2783,seller,High,Medium,Medium,High,Medium
324,324,2785,buyer,Medium,Medium,Medium,High,High
325,325,2785,seller,Low,High,High,Medium,High
326,326,2787,buyer,Medium,Medium,Medium,Medium,Medium
327,327,2787,seller,Medium,High,Medium,High,Medium
328,328,2789,buyer,Medium,Medium,High,Medium,Medium
329,329,2789,seller,High,High,High,Low,High
330,330,2792,buyer,Medium,High,High,Low,Medium
331,331,2792,seller,Medium,High,Low,Medium,Medium
332,332,2796,buyer,High,High,Medium,Low,Low
333,333,2796,seller,Low,High,High,Low,High
334,334,2800,buyer,Medium,Medium,Out of Range,Medium,Medium
335,335,2800,seller,Low,Medium,Low,High,High
336,336,2801,buyer,Medium,Medium,Medium,High,Medium
337,337,2801,seller,Medium,Low,Low,Low,Low
338,338,2802,buyer,Medium,High,High,Medium,Medium
339,339,2802,seller,Low,Medium,Medium,Medium,High
340,340,2804,buyer,Medium,Medium,High,Low,Medium
341,341,2804,seller,Medium,High,Medium,Medium,Medium
342,342,2807,buyer,Medium,Medium,Medium,Medium,Medium
343,343,2807,seller,Medium,Medium,High,Medium,Medium
344,344,2808,buyer,Medium,Medium,Medium,High,Medium
345,345,2808,seller,Low,High,High,Low,High
346,346,2809,buyer,Medium,High,High,Medium,High
347,347,2809,seller,Medium,Medium,Medium,High,Medium
348,348,2811,buyer,Medium,Medium,Medium,Medium,Low
349,349,2811,seller,High,High,High,Low,Medium
350,350,2813,buyer,Low,Low,Low,High,High
351,351,2813,seller,Low,High,High,Low,High
352,352,2814,buyer,Low,High,High,Low,High
353,353,2814,seller,Low,Medium,High,High,High
354,354,2815,buyer,High,High,Medium,High,Medium
355,355,2815,seller,Low,High,High,Medium,High
356,356,2817,buyer,Low,High,Medium,Medium,High
357,357,2817,seller,Low,Medium,High,Medium,Medium
358,358,2819,buyer,Low,High,High,Low,High
359,359,2819,seller,Medium,High,High,Low,Medium
360,360,2820,buyer,Medium,High,High,Medium,High
361,361,2820,seller,Medium,Medium,High,Medium,Medium
362,362,2821,buyer,Medium,High,High,Low,Medium
363,363,2821,seller,Low,Medium,Medium,Low,High
364,364,2823,buyer,Medium,High,High,Low,Medium
365,365,2823,seller,Low,High,Medium,High,High
366,366,2824,buyer,High,Low,Medium,High,Medium
367,367,2824,seller,High,High,High,Low,Medium
368,368,2825,buyer,Medium,High,High,Medium,Medium
369,369,2825,seller,Low,Medium,Medium,Medium,Medium
370,370,2826,buyer,High,High,High,Low,Medium
371,371,2826,seller,Medium,High,High,Low,Medium
372,372,2827,buyer,Medium,High,High,Medium,Medium
373,373,2827,seller,Medium,Medium,Medium,Low,Medium
374,374,2828,buyer,Medium,High,High,Medium,High
375,375,2828,seller,Medium,Medium,High,Medium,Medium
376,376,2832,buyer,Medium,High,Medium,Medium,Medium
377,377,2832,seller,Low,Medium,Medium,Medium,High
378,378,2835,buyer,Medium,Out of Range,High,Low,Medium
379,379,2835,seller,Medium,High,Medium,Medium,Medium
380,380,2837,buyer,High,High,High,Low,Medium
381,381,2837,seller,Low,High,High,Low,High
382,382,2846,buyer,Low,High,High,High,High
383,383,2846,seller,Low,Medium,High,Medium,High
384,384,2848,buyer,Medium,High,High,High,Medium
385,385,2848,seller,Low,High,High,Medium,High
386,386,2849,buyer,Medium,High,Medium,Low,High
387,387,2849,seller,Medium,Low,Low,High,Low
388,388,2851,buyer,High,Medium,Medium,High,Medium
389,389,2851,seller,Low,Medium,Medium,Low,High
390,390,2852,buyer,Low,Medium,High,High,High
391,391,2852,seller,Low,Low,Medium,Medium,High
392,392,2853,buyer,High,High,High,Low,Medium
393,393,2853,seller,High,Low,High,High,Low
394,394,2854,buyer,High,Medium,High,Medium,Low
395,395,2854,seller,Low,Low,Medium,Medium,High
396,396,2855,buyer,Medium,High,High,High,Medium
397,397,2855,seller,Medium,High,Medium,High,Medium
398,398,2856,buyer,Low,Medium,High,High,High
399,399,2856,seller,Medium,High,Medium,Medium,Medium
400,400,2857,buyer,Low,High,High,High,High
401,401,2857,seller,Medium,High,Medium,Low,High
402,402,2858,buyer,Medium,Medium,High,Low,Medium
403,403,2858,seller,Medium,Medium,High,Low,High
404,404,2859,buyer,Medium,High,High,Medium,High
405,405,2859,seller,Low,Medium,Medium,Medium,High
406,406,2860,buyer,Medium,High,High,Low,Medium
407,407,2860,seller,Medium,High,High,Low,Low
408,408,2861,buyer,Medium,Medium,Low,High,Medium
409,409,2861,seller,Medium,Low,Low,High,Low
410,410,2862,buyer,Low,Medium,Medium,Low,High
411,411,2862,seller,Low,Medium,Medium,High,High
412,412,2863,buyer,Medium,High,Medium,High,Medium
413,413,2863,seller,Medium,High,High,Low,Medium
414,414,2864,buyer,Medium,High,Medium,Low,Medium
415,415,2864,seller,Medium,High,High,Low,Medium
416,416,2867,buyer,Medium,High,Medium,High,Medium
417,417,2867,seller,Low,High,High,Medium,High
418,418,2868,buyer,Medium,High,High,Medium,Medium
419,419,2868,seller,Low,High,High,Low,High
420,420,2869,buyer,High,High,Medium,Low,Medium
421,421,2869,seller,Medium,High,High,Medium,Medium
422,422,2871,buyer,Low,High,High,Low,High
423,423,2871,seller,Medium,High,High,Low,Medium
424,424,2872,buyer,Low,High,High,Medium,High
425,425,2872,seller,Medium,High,High,Low,Medium
426,426,2873,buyer,Medium,High,High,Low,Medium
427,427,2873,seller,Medium,High,High,Low,Medium
428,428,2874,buyer,Low,High,High,Low,High
429,429,2874,seller,Medium,High,High,Medium,Medium
430,430,2875,buyer,Medium,High,High,Low,High
431,431,2875,seller,Low,Low,High,Low,High
432,432,2878,buyer,Medium,High,High,High,High
433,433,2878,seller,Medium,High,High,Low,Medium
434,434,2879,buyer,Medium,Low,Medium,High,Medium
435,435,2879,seller,Medium,High,High,Low,High
436,436,2881,buyer,Medium,High,High,Low,Medium
437,437,2881,seller,Low,High,High,Low,High
438,438,2889,buyer,Medium,High,Medium,Medium,Medium
439,439,2889,seller,Medium,Medium,Medium,High,Medium
